epoch,loss_G,loss_D_A,loss_D_B,loss_GAN,loss_cycle,loss_identity,fid_AB,fid_BA,lr
1,8.858654299708881,0.3311334225743044,0.3358153994976597,0.8270943951852422,0.5543474518457269,0.49761708112939884,231.2611541748047,185.9585723876953,0.0002
2,7.249699118092905,0.2575425010126987,0.2568466526851921,0.7780661285800953,0.44846104230216255,0.3974045121254467,,,0.0002
3,6.59657456713406,0.24710000892762932,0.2528051163149418,0.7680832342965797,0.4047236260505607,0.35625101394870917,,,0.0002
4,6.283165832731043,0.23847384812260985,0.2518994733471866,0.8074382701386004,0.38084540481773277,0.3334547026965756,,,0.0002
5,6.105672497978622,0.23289865588401906,0.24747510536247544,0.8216989494428785,0.3666552843067199,0.32348414011102194,,,0.0002
6,5.878151125482067,0.23284578564283423,0.2472653721474747,0.811368123113641,0.3519063020331586,0.30954399662525545,,,0.0002
7,5.62240668157366,0.23473516528305466,0.24054433582707055,0.811914853780906,0.3330173103743844,0.29606374650023753,,,0.0002
8,5.446932895377761,0.23323984906969408,0.2454331624700932,0.8032203963770366,0.32150526697198123,0.2857319660287376,,,0.0002
9,5.418455154785815,0.2225940690811822,0.2330485496640761,0.8350001770100018,0.31748640576744924,0.2817181831735741,,,0.0002
10,5.372327779998256,0.22958355561498336,0.2275958131044606,0.8198073468554008,0.3157504847286026,0.27900311517528276,212.73658752441406,184.1560821533203,0.0002
11,5.186519726686787,0.2309112596463584,0.23230600965934073,0.806585623154287,0.30235763657490805,0.27127154719841257,,,0.0002
12,5.210525235671174,0.229404557845441,0.23152233033886105,0.8085571364723548,0.30505532535182367,0.27028296784049044,,,0.0002
13,5.070047934460102,0.22742906662290943,0.22941061972537177,0.8170400992752408,0.2933432072386423,0.2639151548745588,,,0.0002
14,4.900038060542997,0.23208087788925846,0.23034404752313564,0.8013743698099761,0.28320042833583514,0.2533318818390545,,,0.0002
15,4.747562097964975,0.2344481587241805,0.22765384821387571,0.7814236329219526,0.27397442720940113,0.24527883867461736,,,0.0002
16,4.820422666931527,0.2329627079916597,0.22581782438577508,0.7973437154842897,0.27834200388930147,0.24793178247428618,,,0.0002
17,4.741842847810994,0.22890017822684613,0.2253962766316969,0.8109068695064616,0.2723159007399075,0.24155539571800222,,,0.0002
18,4.610062012377618,0.23275817215069763,0.22336663905681056,0.7995635689299286,0.2629604540012185,0.23617877924524183,,,0.0002
19,4.64345697004264,0.2271764898605067,0.22184662856307827,0.8032923367119397,0.2652818957038436,0.237469135091747,,,0.0002
20,4.551273851095168,0.22740107530525083,0.21940732979735722,0.8119329617772767,0.25766094858091876,0.2325462793914914,187.31935119628906,155.47061157226562,0.0002
21,4.666884092634162,0.2254414098562126,0.21958741842256357,0.8208190461107044,0.26572492155698846,0.23776316579880963,,,0.0002
22,4.47654154724181,0.22889230881248243,0.22087358804721244,0.8326866816696404,0.2509368582317008,0.22689725710874217,,,0.0002
23,4.408613773042718,0.2264010780020247,0.21485567533422967,0.8238102271787318,0.24775453392960958,0.22145164088219024,,,0.0002
24,4.392771014287497,0.22717317780141624,0.21572684750904103,0.8182644925141475,0.24716913894593892,0.2205630247869599,,,0.0002
25,4.395759330062567,0.22644387823698622,0.2188214907784589,0.8105293866301776,0.24734070861275226,0.22236457192891948,,,0.0002
26,4.3358764150074816,0.2299297388288411,0.21143231621163808,0.8066918298499741,0.24366499962499027,0.2185069188490232,,,0.0002
27,4.305993416826437,0.2237441571277655,0.21271077984024545,0.8317077802430192,0.23941197932146716,0.21603316693796143,,,0.0002
28,4.232047751326556,0.22444378752791497,0.21967083643993932,0.8101683950693264,0.23674908833134045,0.2108776926321651,,,0.0002
29,4.199048347632246,0.22639509875937872,0.2132234202206164,0.8150514937769091,0.2338681297268905,0.2090631113026631,,,0.0002
30,4.202801497808499,0.22295867406577602,0.2107323884609374,0.8142577496131514,0.23394999089372054,0.20980876748531443,180.61375427246094,151.55215454101562,0.0002
31,4.154325772899407,0.22468735644880816,0.21373130986878286,0.8219092232234578,0.23021901494679906,0.20604528061921276,,,0.0002
32,4.094310432701747,0.22493166183107793,0.2116980223575565,0.8021237164648054,0.22802820038397717,0.20238094292105824,,,0.0002
33,4.111450705724796,0.22156872641627876,0.21028166369949053,0.8294883719969895,0.22685504234574144,0.20268238272967587,,,0.0002
34,4.091922157763031,0.21675487170845884,0.20447632539615226,0.825371181188376,0.22512298959130977,0.20306421781984232,,,0.0002
35,4.061827896621674,0.22021559514178438,0.2098102898202595,0.8351128266446138,0.22263595505715353,0.20007110530395386,,,0.0002
36,3.990626936220912,0.22246745563093007,0.21185663332239568,0.8152309592385522,0.21922998454959167,0.19661922659999137,,,0.0002
37,4.03340405067822,0.21670732271361282,0.20761418313160904,0.8376296303427839,0.22043888806068393,0.19827710910973534,,,0.0002
38,4.005604645337862,0.22120904013463338,0.20406569225368135,0.8292799361262168,0.21941053895124393,0.19644386376874837,,,0.0002
39,3.9806515513037324,0.2151830194881725,0.20375020543188296,0.8606621814604714,0.21544771662696655,0.19310243866452992,,,0.0002
40,3.927112267342587,0.21584481868428618,0.20509150979896026,0.84963391687615,0.21244512460358125,0.19060542120052623,183.86386108398438,142.74635314941406,0.0002
41,3.9061667762396963,0.21612528423843605,0.20473307512254546,0.8388131729403001,0.21249136352094514,0.18848799545614012,,,0.0002
42,3.8772799111208105,0.2159304365084321,0.2080447853079488,0.8375168973113885,0.20981971039944003,0.1883131833756169,,,0.0002
43,3.7998369247803394,0.21772634867721322,0.20968274327801126,0.8271391691239706,0.20538775652091332,0.18376403857640358,,,0.0002
44,3.8006467295114144,0.21205812776909083,0.2059818835137549,0.8411915315583831,0.20505982975204046,0.18177137920181463,,,0.0002
45,3.8161677202836803,0.21455850122611644,0.20279655697681484,0.8489834633934603,0.20493168093563882,0.1835734906868682,,,0.0002
46,3.765333059023594,0.21352074840366547,0.20828833226553212,0.8289621909010984,0.2036223123334458,0.18002954795883494,,,0.0002
47,3.749334849366028,0.21261698571495324,0.20493277333954657,0.8421925319700526,0.2009395515880711,0.17954935989652462,,,0.0002
48,3.7437461805296834,0.2153373135471309,0.2032586293143309,0.8484801536497237,0.20046911290659403,0.1781149809856527,,,0.0002
49,3.76743055934176,0.21075961245287858,0.20382013355068299,0.8652139669896576,0.20124545876188998,0.17795239935123652,,,0.0002
50,3.750682565485062,0.20841043356758515,0.20088491266203992,0.8507145019988434,0.20028349212475918,0.1794266278935017,194.7987060546875,136.58090209960938,0.0002
51,3.6648054892696273,0.21455344444979804,0.2035117120581649,0.8576991143503881,0.19439456100055585,0.1726321540151424,,,0.0002
52,3.694608362196004,0.2122349781994146,0.20128188756595242,0.8542253901639092,0.19710101112650233,0.17387457171471477,,,0.0002
53,3.6588947811585295,0.2088243628068808,0.20409312415995998,0.8527144766005964,0.19453458735121595,0.1721668868920637,,,0.0002
54,3.683314755807564,0.20742782821716108,0.19872493159219667,0.8575290385067054,0.19555145137238666,0.1740542409449845,,,0.0002
55,3.6195288749157624,0.20919063835933996,0.20326314195698095,0.8572141088406401,0.1922240550022013,0.1680148445047855,,,0.0002
56,3.6034569308615056,0.2100767767910459,0.20241139789310242,0.8667343352154497,0.18975019394269285,0.1678441307773417,,,0.0002
57,3.5978788101170083,0.20865249979447745,0.19961451710922912,0.8625837122697942,0.1900992585790286,0.1668605034525659,,,0.0002
58,3.549858690712005,0.20691776806095633,0.20258997726940547,0.8660902006001421,0.18610363470443447,0.16454642894472177,,,0.0002
59,3.5872889537221666,0.20714393018820745,0.19875597427722516,0.8623276151519295,0.18906988553754012,0.166852497492969,,,0.0002
60,3.561165992481318,0.2077049639192981,0.20006448150017428,0.8590901567800824,0.1873705903172376,0.16567398648676157,189.9145965576172,133.6165008544922,0.0002
61,3.5468429635855587,0.2071237272863533,0.2005827101815759,0.8571812527599699,0.187157447427014,0.16361744857966257,,,0.0002
62,3.5265927989770667,0.20726057946667353,0.2011589646372319,0.8646988803785847,0.1848655032748914,0.16264777727812615,,,0.0002
63,3.5087283229687496,0.20952827348881076,0.20041734976757966,0.8534050279820632,0.18499355312798746,0.16107755285249958,,,0.0002
64,3.516225242989103,0.20431030495412159,0.19854440816090432,0.8749873190240841,0.18447170255959794,0.15930417819100343,,,0.0002
65,3.50140827397018,0.20727428693737437,0.19846033704877486,0.8761351560850256,0.18293682874799125,0.15918096484318447,,,0.0002
66,3.449977281166129,0.2039302424696787,0.1943373305428777,0.8793946447854422,0.17877942390951956,0.15655767953460187,,,0.0002
67,3.4751461056427586,0.20448642845930015,0.1951438285158152,0.8816716511230239,0.180674617888883,0.15734565446666926,,,0.0002
68,3.4727472443575946,0.20419958833937732,0.1968126945267043,0.8866661359447259,0.179456463015992,0.1583032958845629,,,0.0002
69,3.43791655960682,0.20383202057547495,0.19736465747021248,0.8785967263918629,0.17811399339254985,0.15563598144305935,,,0.0002
70,3.409984294518872,0.2034855004549904,0.1967164917087678,0.8923036816499769,0.17535915518941778,0.15281781150252943,175.24061584472656,144.04029846191406,0.0002
71,3.4464333508971627,0.20343366436755342,0.19117790431522702,0.8942907447318919,0.17751654844376477,0.1553954243791583,,,0.0002
72,3.445477779994886,0.19980602755491877,0.19746806938658168,0.8951583550155339,0.178048343160962,0.15396719821477428,,,0.0002
73,3.3754847839372313,0.20318853694276556,0.1925010645270377,0.8894544512881615,0.17341294237599875,0.1503801810773596,,,0.0002
74,3.3845177873661987,0.20160464967497724,0.19329420744027426,0.8906736759225801,0.17350455746420232,0.15175970662769087,,,0.0002
75,3.4585634523799773,0.20278356455346905,0.1932936581884446,0.8911843506054509,0.17891422973560048,0.15564736100946489,,,0.0002
76,3.4644324184048982,0.19559343787087485,0.18542492206521896,0.9382683404586968,0.17622935913788323,0.1527740978969442,,,0.0002
77,3.3662130308572396,0.2002497098890295,0.1910044595716161,0.8999088610411861,0.17176046573407985,0.14973990227277661,,,0.0002
78,3.4042686166660356,0.20008010662163556,0.18680112498197285,0.9156614123195614,0.17374724934976163,0.15022694244907694,,,0.0002
79,3.3925005405761075,0.1988020516471376,0.19120021516839233,0.9150127796958895,0.17259870415463882,0.150300145449009,,,0.0002
80,3.334096303631911,0.19930965589017582,0.18966483647027532,0.9006686658544559,0.16999247611680374,0.1467005750411158,159.42343139648438,132.14678955078125,0.0002
81,3.308948595928608,0.20198460744001095,0.18837942653157408,0.9040987143718927,0.16802592457101204,0.14491812636942344,,,0.0002
82,3.390640038269425,0.1973022494092218,0.1878366477520619,0.9131121470047283,0.17384194908800724,0.14782168000380821,,,0.0002
83,3.338682505871527,0.20064059662119915,0.18881481897425897,0.9108232944706588,0.16947224059154053,0.14662736123455167,,,0.0002
84,3.3049715655591703,0.1953943772159217,0.1855511191512172,0.9191761470899732,0.1670649796651203,0.14302912557002256,,,0.0002
85,3.3292680062770375,0.19849343924354523,0.18915799218463009,0.9211412948264692,0.16830291731376293,0.14501950783806764,,,0.0002
86,3.3001114497357893,0.20049614768193796,0.1886071241858312,0.9071168999413396,0.1671790995427624,0.14424071070885283,,,0.0002
87,3.333635356054222,0.19621149921594178,0.18798251241862307,0.9258396791785927,0.16874089927007688,0.1440773388339797,,,0.0002
88,3.2909368149080733,0.19719160524753523,0.18683742549932097,0.9288793998360049,0.16513425978933396,0.14214296313596778,,,0.0002
89,3.2999997388158393,0.19793708064941593,0.18717429468680585,0.9166287499771502,0.16704580282117948,0.14258259183145014,,,0.0002
90,3.276239467088327,0.19764437081550007,0.18480720509198276,0.9148175678233286,0.16490370038096172,0.14247697934698428,169.11920166015625,124.54078674316406,0.0002
91,3.2887075493684343,0.19405629493157225,0.1825984831738548,0.9366295290589918,0.16542251895056623,0.1395705666126166,,,0.0002
92,3.2459702867287064,0.19907382525452455,0.18830197579771193,0.9282376147638476,0.16223376968160813,0.13907899498442322,,,0.0002
93,3.2223138131852003,0.19638969614677737,0.1889479388779905,0.9191028781973696,0.16195887083715968,0.13672444512802556,,,0.0002
94,3.253365222558423,0.19512291363384704,0.18613699830929595,0.9260809612081142,0.16350770083651808,0.13844145033819286,,,0.0002
95,3.2222636885451146,0.19533608602844288,0.18443931082777232,0.9341464085071197,0.16058347435618758,0.13645650651141403,,,0.0002
96,3.226624698353469,0.19655633162454839,0.18324350676260764,0.9310861042279374,0.1615497854275956,0.13600814827627358,,,0.0002
97,3.2002614575115573,0.19623180186893274,0.18706578216437794,0.9311605467003157,0.15903330956959513,0.1357535621749056,,,0.0002
