epoch,loss_g,loss_c,fid,is_mean,is_std,run
1,0.14255457796288679,-0.2715889145108288,125.66173553466797,2.6871941089630127,0.03300294652581215,1
2,0.11597810111584077,-0.22587851640890605,,,,1
3,0.08281801015736481,-0.1625401348495814,,,,1
4,0.07349333060823834,-0.14599922524413278,,,,1
5,0.06670450566812611,-0.13773220931771216,56.9586181640625,3.466871738433838,0.07100207358598709,1
6,0.062210426884820126,-0.1289374303219794,,,,1
7,0.05925534252328808,-0.12197570792193602,,,,1
8,0.05584519368814048,-0.11660298565154142,,,,1
9,0.05515702409702557,-0.111243710709038,,,,1
10,0.05454790504416202,-0.1077229715525913,43.22874069213867,3.691779375076294,0.06734401732683182,1
11,0.05077600069858408,-0.10440894185288102,,,,1
12,0.052030655803042586,-0.10126835281146629,,,,1
13,0.0492557534559609,-0.09847420968489051,,,,1
14,0.04902362912680095,-0.09607213830998766,,,,1
15,0.046908641723556126,-0.0938769339234941,38.455322265625,3.7513465881347656,0.05824509263038635,1
16,0.04764985838500443,-0.09258674958615445,,,,1
17,0.04578162729727719,-0.09029926006208107,,,,1
18,0.045063682531032476,-0.08859954550941827,,,,1
19,0.04418100478036156,-0.08668415187962408,,,,1
20,0.04297619031517585,-0.08455891274671162,35.793094635009766,3.781395673751831,0.03802986815571785,1
21,0.04271878218569017,-0.08331045158517526,,,,1
22,0.044029593585121665,-0.08175460471430736,,,,1
23,0.040866137519374436,-0.07974781281252172,,,,1
24,0.041265507148163294,-0.07901974693099742,,,,1
25,0.039504070549591055,-0.07861080549045077,34.21046829223633,3.870309591293335,0.048981860280036926,1
26,0.04079626733002331,-0.07692309942100448,,,,1
27,0.03890011012613805,-0.076052620816129,,,,1
28,0.040136433066601446,-0.0757464259791336,,,,1
29,0.03871174714192072,-0.07483674609673825,,,,1
30,0.0372001604096797,-0.0738440687940113,33.07835006713867,3.766949415206909,0.055313121527433395,1
31,0.0370062148498407,-0.07258910122213204,,,,1
32,0.03656884163715991,-0.07190927722180221,,,,1
33,0.0364193691264017,-0.07195120461865576,,,,1
34,0.03584173697023578,-0.07114021283084389,,,,1
35,0.0360176808378692,-0.06991561185349904,31.511083602905273,3.821033239364624,0.09262116998434067,1
36,0.035991594981448875,-0.06884654209995791,,,,1
37,0.034232122642574525,-0.06832819092489993,,,,1
38,0.03450199068730683,-0.06691057147734511,,,,1
39,0.03434144974811194,-0.06763854852441217,,,,1
40,0.0336563247372769,-0.06680143813790482,30.8990535736084,3.8572399616241455,0.12996117770671844,1
41,0.03388543479806041,-0.06642860262242237,,,,1
42,0.03262179213418976,-0.06517205505632857,,,,1
43,0.03269886836511945,-0.06487264788909362,,,,1
44,0.03371449713677212,-0.06446007913497367,,,,1
45,0.03186252818455554,-0.06426914575983837,30.090538024902344,3.9045674800872803,0.05913674458861351,1
46,0.03272892797058657,-0.0631186321095475,,,,1
47,0.033368641753003137,-0.06362242348842012,,,,1
48,0.03224359543968227,-0.06296180710673586,,,,1
49,0.031210041918151733,-0.062335516897645424,,,,1
50,0.03045926025244651,-0.06183938144953681,29.659767150878906,3.8539764881134033,0.09035097807645798,1
51,0.029136439135696704,-0.061653048064452355,,,,1
52,0.02930595469275905,-0.061723555697639064,,,,1
53,0.027956798840527847,-0.06168090644528097,,,,1
54,0.02860654381825912,-0.061161568511591526,,,,1
55,0.029119713798405358,-0.06130800662977719,28.43967056274414,3.778790235519409,0.10447771847248077,1
56,0.02691499030492353,-0.06050864070964025,,,,1
57,0.028604676731188237,-0.06055671093923814,,,,1
58,0.0278843428661029,-0.06045151831087206,,,,1
59,0.028720404238742253,-0.05945527008878765,,,,1
60,0.025881606561038346,-0.059396289847592404,29.17429542541504,3.840899705886841,0.1049264445900917,1
61,0.02661886786855161,-0.0594474422907419,,,,1
62,0.025675920388644427,-0.059724728501299465,,,,1
63,0.026320290599061075,-0.058647431017733564,,,,1
64,0.02520024457080697,-0.059456779131528664,,,,1
65,0.024995691937383508,-0.05822752161287447,29.257057189941406,3.8980815410614014,0.07021252065896988,1
66,0.026124487582195585,-0.05890782122582738,,,,1
67,0.024615426937884998,-0.058394180773782244,,,,1
68,0.025051861271493756,-0.058629648978628116,,,,1
69,0.024297751482449902,-0.057720156033645637,,,,1
70,0.024949068607232686,-0.057767985474115505,28.15977668762207,3.8260810375213623,0.06593053787946701,1
71,0.02539080111103643,-0.05742107433333532,,,,1
72,0.025354613190573486,-0.05667438079864423,,,,1
