epoch,loss_g,loss_c,fid,is_mean
1,-0.0022047733151714594,-9.188455099389087,446.7749298095703,1.0646854281425475
2,-0.0030131603653104208,-9.521597963571548,,
3,-0.004393344028966141,-9.51967300455887,,
4,-0.0021186621521795583,-9.520811700716719,,
5,-0.005853450657082726,-9.520979681965354,448.5429290771484,1.0617693305015563
6,-0.004908834048111819,-9.52103600843803,,
7,-0.004366844254504654,-9.521024471375492,,
8,-0.003940667249825966,-9.522492022531015,,
9,-0.0022701482105915416,-9.521809157666627,,
10,-0.037084151417377684,-9.209904807296475,449.17848205566406,1.0618237257003784
11,-0.010568564924553128,-9.097979410745415,,
12,-0.003885086375529129,-8.497261660463291,,
13,0.0006780415892694532,-8.49979835208078,,
14,-0.003366533172549578,-8.501062579991737,,
15,-0.0028981089557699024,-8.49943099174896,448.688818359375,1.061465322971344
16,-0.20509091943027555,-8.531855768829965,,
17,0.029414489354434144,-7.2007970045128555,,
18,-0.04311930132555024,-7.201743215112988,,
19,-0.011725078576138684,-6.66600599965053,,
20,-0.01288525320570742,-6.625328968780932,450.81146545410155,1.0679774641990663
21,-0.013525288371632601,-6.590498567446479,,
22,-0.01897072899596201,-6.511893353078956,,
23,-0.05085923259371507,-5.939058559076735,,
24,0.016744265814913825,-5.640906940991796,,
25,0.007179603449826477,-5.625465222885401,449.5877197265625,1.0759467124938964
26,0.015475831685767476,-5.6358865266852245,,
27,0.027906378751692495,-5.625093634666497,,
28,0.015735579806110202,-5.636753270977911,,
29,0.03676776753580181,-5.631120350242611,,
30,0.012970090878099489,-5.640138032373394,448.0642852783203,1.081174099445343
31,0.01962703372190228,-5.65431678346342,,
32,0.0024609950565146056,-5.642620981365225,,
33,0.025028621036413522,-5.650273212367608,,
34,0.013397472097543096,-5.664537584303245,,
35,0.030262332933046567,-5.67450540456062,451.1206787109375,1.0747953176498413
36,0.014583896053664938,-5.6685240573235305,,
37,-0.04029127565968178,-5.738121686258086,,
38,-7.721795092210312e-05,-5.636957653701408,,
39,0.018595810113868797,-5.616398133476219,,
40,0.00479325187327202,-5.623864341132287,450.8008605957031,1.1128651976585389
41,0.04197551522905793,-5.639547741059769,,
42,0.012357332917940608,-5.621811945979822,,
43,-0.010473103988820535,-5.6261358681777605,,
44,0.031207890671041266,-5.627698040626808,,
45,0.019497961189122212,-5.63218726478919,451.09096069335936,1.1285109519958496
46,0.013298126933725804,-5.62305794076679,,
47,0.02621886083311088,-5.649277962971958,,
48,-0.06627948038402176,-5.271837482439339,,
49,0.02331486167346996,-4.743733396753344,,
50,0.06321790934565975,-4.78414309965354,447.6328979492188,1.1497705459594727
51,0.026850187548239722,-4.70741212636939,,
52,0.041224566587822725,-4.764985194291583,,
53,-0.0769632564521865,-4.430530666044471,,
54,-0.04011648019374654,-3.865332651983741,,
55,0.06161871783036592,-3.817896544380784,438.53115234375,1.1852568864822388
56,-0.011981944172475778,-3.8457972600244448,,
57,0.06260178830346191,-3.8102329990265433,,
58,0.14757162801317106,-3.8113130765427528,,
59,-0.012207138471671103,-3.813176969533063,,
60,0.047664716756101566,-3.83496468399472,444.3108306884766,1.1962445616722106
61,0.04076988765643422,-3.80984101090277,,
62,0.0739310624051051,-3.7969497862521484,,
63,0.11819164914133859,-3.822847797610867,,
64,0.0031186795991043925,-3.808941626504338,,
65,0.08113156261154669,-3.8133092054974598,444.47620544433596,1.1931623816490173
66,0.01648417723408784,-3.7963974462541215,,
67,-0.02992773168963821,-3.824683966114995,,
68,0.018887008693310604,-3.1579232449609935,,
69,0.025782232774084028,-3.1168559378292455,,
70,0.05659625997274428,-2.974054673760014,427.81061096191405,1.241400158405304
71,0.019234190257132855,-2.9061180157251116,,
72,-0.0019891358184395335,-2.9847120869543913,,
73,0.05838028327395535,-2.947370169215027,,
74,-0.08539796110097186,-2.9615495462884183,,
75,0.15959852899782512,-2.949275102524186,417.4407623291016,1.3053436636924745
76,0.07084752212796919,-2.8996540243380826,,
77,-0.0027202331761260095,-2.9706433067916116,,
78,0.05278299662887592,-2.91678787800345,,
79,0.0767625327004839,-2.910228642482166,,
80,0.06067483173155651,-2.934880252714336,414.90281066894534,1.2943956017494203
81,-0.13281066204608769,-3.289125943886584,,
82,-0.10321538194337691,-3.3139997365840523,,
83,0.14312629716701736,-2.960413545178281,,
84,-0.0010665110330261387,-2.9219417762154567,,
85,-0.02247598563832846,-3.1601107228805807,418.274072265625,1.3158550262451172
86,0.07695009687947398,-2.9978243095206194,,
87,0.10768246986372361,-2.9896001807598793,,
88,0.022609299929726868,-2.936896855559864,,
89,-0.00014546860883666858,-2.968489122280702,,
90,0.0029416122169610803,-2.9864946402407044,410.71680908203126,1.3530818462371825
91,0.18404678757440046,-2.9599756791297174,,
92,-0.044271292172726885,-2.9565230351424434,,
93,0.1000509249136224,-2.9571494823604594,,
94,0.030433645115347525,-2.9597046312319764,,
95,0.02463650009361315,-3.025766527823802,418.9424560546875,1.3199864149093627
96,0.084602306865728,-2.9230971797904686,,
97,0.10741224755508923,-2.937973358044771,,
98,0.05468346021131314,-2.9199430840334246,,
99,0.05885601417464061,-2.909856784537067,,
100,-0.030778182746534523,-3.0313478987749414,424.21068420410154,1.3018357634544373
101,0.008311028676338527,-2.9202158368872992,,
102,-0.0027421901309159563,-2.948791620013356,,
103,0.017586792251992712,-2.953237050143559,,
104,0.021504541208239563,-2.9476644413291933,,
105,0.04189462040324231,-2.9084384811232096,414.8406280517578,1.3652890205383301
106,0.015933632436644984,-2.9111358576951636,,
107,0.07123066322797789,-2.9040551615465993,,
108,0.022265708107997665,-2.906602665017134,,
109,-0.0053227596756848725,-2.92143362215773,,
110,0.03824611916826505,-2.913656972365623,425.6280914306641,1.3405022025108337
111,0.007615271064393196,-2.900709634870181,,
112,0.02891004029817621,-2.8938040141407013,,
113,0.007002570499827124,-2.9142667642965407,,
114,0.06449395559435174,-2.9084843199926027,,
115,0.024688103060179857,-2.9064215868219963,423.77089538574216,1.346562659740448
116,0.03957683579407333,-2.9134687486074853,,
117,0.01971844861996128,-2.8950004152095516,,
118,0.00507162136364186,-2.909786663319651,,
119,0.04530743310129586,-2.913374139929627,,
120,0.039991963184714416,-2.911018987722496,424.3295196533203,1.334391450881958
121,0.05981669204130076,-2.9017754184099656,,
122,-0.006449271669448314,-2.8961836944875072,,
123,-0.0008380651247732,-2.9041677325077324,,
124,0.06592048261853153,-2.9289468278157953,,
125,0.04486749049952726,-2.9079816307537607,422.76214904785155,1.3461008310317992
126,0.08047518266492744,-2.9033696808908838,,
127,-0.07512320711195405,-2.9101295778903156,,
128,0.07365011670914685,-2.916597063031845,,
129,0.1578361496836335,-2.9286695095860047,,
130,-0.023163402857979593,-2.905398039730876,420.19566955566404,1.3300251841545105
131,0.080225315628457,-2.9174808653483963,,
132,0.07178543630643554,-2.908176362106391,,
133,-0.04259523831619686,-2.937466821190301,,
134,0.13726743603541114,-2.938533677407634,,
135,0.06742425417311618,-2.954036026967484,421.3555114746094,1.3715954184532166
136,0.008997466258972906,-2.9385369546890954,,
137,-0.07566069419362656,-2.9106761839134143,,
138,-0.007582834419385093,-2.946936454858508,,
139,-0.002898979187591759,-2.9619371039444156,,
140,0.17680918835605194,-2.9513382020703363,422.51747436523436,1.33291597366333
141,-0.11735985145378627,-2.954590564283239,,
142,-0.056157732813133056,-3.0408871087790272,,
143,0.01595625136458922,-2.9887930509026392,,
144,0.02193116297923705,-2.9947399957849394,,
145,-0.07841190226433857,-2.944005015717882,427.4101287841797,1.3201438307762146
146,0.020295624378541488,-2.912570669359065,,
147,0.04076256751944708,-2.9197379231392393,,
148,0.012626131300042994,-2.8969916668606266,,
149,0.025257693399709586,-2.9214557629112816,,
150,0.055178193541940125,-2.908694510040923,419.8365417480469,1.3319640278816223
