epoch,loss_g,loss_d,fid,is_mean
1,4.014608008603744,0.14687413000600028,309.963671875,1.539277768135071
2,3.7063017526106945,0.17846861401986092,,
3,3.2795653303263306,0.2787555919484472,,
4,2.719793430532125,0.37231338797266655,,
5,2.346617855321894,0.41757257122796043,203.1773254394531,2.466842222213745
6,2.0195981003089742,0.45127256875845934,,
7,1.8533567928634913,0.4886966242048743,,
8,1.7187154343923936,0.5126024752177119,,
9,1.6192428777175667,0.5279885143456056,,
10,1.5410398020681026,0.5425669181851762,202.6528106689453,2.7953773021697996
11,1.479272410073865,0.5573830837094226,,
12,1.4130670001925771,0.5672888631766424,,
13,1.3588005789311888,0.5788586699781767,,
14,1.3078263336352243,0.5875444621073763,,
15,1.2655389320986008,0.5958900785174894,209.38431701660156,3.079799747467041
16,1.2253884394837993,0.6028194868421435,,
17,1.1866919557529816,0.6104888410845538,,
18,1.1518128321460164,0.6167211619324691,,
19,1.1226313771098362,0.6223516437746632,,
20,1.093939069180965,0.626609202808737,216.32185974121094,3.16571364402771
21,1.07436097577007,0.6301322984484445,,
22,1.0483050196647041,0.6355140527792736,,
23,1.0280150913483876,0.6376151048353439,,
24,1.007788194619901,0.6416283544110588,,
25,0.9888933262541683,0.6456639627439785,218.87124633789062,3.2037807941436767
26,0.974562824978087,0.6473820861537296,,
27,0.9654799001105365,0.6483856921174885,,
28,0.9566477523591516,0.6505404526228851,,
29,0.9471597802473231,0.6516555542590193,,
30,0.9396245174627991,0.6526610560498558,219.30617980957032,3.267075777053833
31,0.931925415035747,0.6543837288387506,,
32,0.9241768889873277,0.6554954698806165,,
33,0.9185515928886332,0.6562966640016674,,
34,0.9173852147103562,0.6563647372683442,,
35,0.9139027791363853,0.6569277287810551,232.49793090820313,3.458681917190552
36,0.9114196602372846,0.6572358663103222,,
37,0.908153999190867,0.6582341087828997,,
38,0.9035939662329918,0.6585279731623894,,
39,0.9032610832363858,0.6588088708867316,,
40,0.9010179106640605,0.658947872083196,233.06507568359376,3.527573299407959
