epoch,loss_g,loss_d,fid,is_mean,is_std,run
1,4.665812213223441,0.768546634863511,161.15530395507812,2.84047532081604,0.054503683000802994,1
2,3.277683068570762,0.8156790906273761,,,,1
3,2.5652222265636575,0.887748895794643,,,,1
4,2.377560026797686,0.9220617114744054,,,,1
5,2.3628225436177477,0.9116508063640064,42.564170837402344,2.7442920207977295,0.04383498430252075,1
6,2.423797619374829,0.8853901642199262,,,,1
7,2.5518290314837517,0.8334209779760178,,,,1
8,2.6206551254944763,0.8132899337637741,,,,1
9,2.58671677314621,0.8218544229168054,,,,1
10,2.81877825839631,0.7379435512947222,33.16056442260742,2.8358190059661865,0.05950215458869934,1
11,2.8459454164163276,0.7527108388928185,,,,1
12,2.9212419753175998,0.7439952170200806,,,,1
13,3.0901142053833577,0.6865725933036069,,,,1
14,3.23612933563523,0.6381732858764537,,,,1
15,3.242818191795882,0.663739349085522,29.408964157104492,2.893433094024658,0.10275443643331528,1
16,3.388667602252154,0.6241884981335039,,,,1
17,3.531548446625961,0.5882555303433451,,,,1
18,3.5302588609182637,0.6083046401534159,,,,1
19,3.6502005276747056,0.5746155241045126,,,,1
20,3.602301245948533,0.6057700785500965,24.904075622558594,2.9425761699676514,0.06622254103422165,1
21,3.6177605082211466,0.6021261189778143,,,,1
22,3.7393552167294017,0.5664425586101831,,,,1
23,3.6605341717713853,0.596199141101801,,,,1
24,3.9417410050571795,0.5265920506943342,,,,1
25,3.927928223763269,0.534147973872919,25.869068145751953,2.919074296951294,0.07155834883451462,1
26,3.884495116586593,0.5638193361527097,,,,1
27,3.979942698441399,0.5315471238606196,,,,1
28,4.063554980642576,0.5097881046732518,,,,1
29,4.06072932758219,0.5278469579183649,,,,1
30,4.0700827570191755,0.5155624875565696,26.972335815429688,2.988240957260132,0.07754205167293549,1
31,4.1237863926487766,0.5030498120524036,,,,1
32,3.9959201553592743,0.5793872537602366,,,,1
33,4.004571129602065,0.5201796281955637,,,,1
34,4.180510585456521,0.4915144695946299,,,,1
35,4.216383604707217,0.49378860015634035,23.125652313232422,2.9125993251800537,0.07222418487071991,1
36,4.078267975724167,0.5403657050146315,,,,1
37,4.206581275684078,0.5031991032259503,,,,1
38,4.247905695728496,0.48208239045366175,,,,1
39,4.282020910406384,0.4847550615385721,,,,1
40,4.399831399340394,0.4614545786576687,24.409822463989258,2.9006972312927246,0.05050135776400566,1
