epoch,loss_g,loss_d,fid,is_mean
1,4.85829952573078,0.3542355690257285,287.02452545166017,1.862958300113678
2,2.589762573611069,0.7981319285668693,,
3,2.052214274938394,0.8805972156095339,,
4,2.131451306219206,0.7451459488772846,,
5,2.1447442260264724,0.6613184672917102,104.31526260375976,2.5920858860015867
6,2.156255638783218,0.6819360260102716,,
7,2.127504175142678,0.6842143145787132,,
8,2.1107849431530266,0.6967466180401665,,
9,2.0938238100367728,0.6867914470081979,,
10,2.0997752308685955,0.703447540338848,63.13835411071777,2.873980450630188
11,2.1308763933947663,0.6817085494840895,,
12,2.159093145753576,0.6841248921997897,,
13,2.185175352405522,0.658885577172562,,
14,2.2074613534076906,0.6659612194745691,,
15,2.208825247693755,0.6593868809172532,52.822119522094724,2.928533363342285
16,2.23846923965469,0.6615420954835998,,
17,2.2665876155352005,0.646695012367376,,
18,2.297893813749371,0.6288008757612922,,
19,2.2648947310841145,0.6762924390421673,,
20,2.329341485951148,0.6108806133895487,42.684072494506836,2.923265075683594
21,2.355155484757705,0.6282546746511976,,
22,2.385853181894009,0.5953173094670048,,
23,2.3929377927067135,0.6448184655940199,,
24,2.4011146095219895,0.6061656709630172,,
25,2.45329701885336,0.5810934761213464,38.04872550964355,2.896709680557251
26,2.4547877145038877,0.6138790320292428,,
27,2.490093029717124,0.5882491061138315,,
28,2.512783705831792,0.5796495548495046,,
29,2.5349261157086627,0.6050393091345375,,
30,2.5496481383545815,0.5679852732750295,34.42579021453857,2.936971974372864
31,2.586605741760866,0.5489362486201774,,
32,2.5925858125883936,0.5793696107069304,,
33,2.630931596679717,0.5454748977340393,,
34,2.629605764456881,0.5668076414484661,,
35,2.620504289753149,0.6057336277582428,34.406544876098636,2.943504285812378
36,2.6538162232132407,0.5493314914457448,,
37,2.7148805165065815,0.5201976700444947,,
38,2.716175990918805,0.5476330524297444,,
39,2.7304604374101853,0.5377349168531127,,
40,2.761247455444793,0.5218143218919844,30.626103973388673,2.937974238395691
41,2.803625982502228,0.48911293964650665,,
42,2.799838898691107,0.5634449048124097,,
43,2.8256718398822422,0.5066662023807844,,
44,2.8599378507647017,0.5025373297463451,,
45,2.863781461289064,0.5149911733995471,26.444958114624022,2.961179518699646
46,2.9188042753239296,0.4655191933143545,,
47,2.947104350361922,0.5030788904798407,,
48,2.9317556708578145,0.5090945212548221,,
