epoch,loss_g,loss_c,gp,fid,is_mean
1,2.317765880827271,-3.2243981942286966,0.09263967124540098,215.62059631347657,2.071759343147278
2,0.9335462795775644,-2.8880333246467833,0.07530659036368939,,
3,0.4127086856816016,-2.814809063900184,0.07199240131466486,,
4,-0.9024600602030247,-2.4531864855672927,0.06311554011849727,,
5,-2.621169843908458,-2.1960644547651698,0.05722237832297187,117.51967697143554,2.561712551116943
6,-3.7877368574364474,-2.0590460424969246,0.05402535300968879,,
7,-5.012882611687926,-1.9596566480148088,0.051575674621837694,,
8,-6.16265638030844,-1.8758541908610116,0.049731043106355295,,
9,-7.368548990799101,-1.7889161406488685,0.04812666932202329,,
10,-8.3173545086587,-1.7203839048118024,0.04714694688930274,84.56777572631836,2.713580918312073
11,-9.314227773884793,-1.6614039492565436,0.04601574785815278,,
12,-10.170583532156645,-1.6086886748567326,0.04504975137899962,,
13,-10.786865633913688,-1.5597376980147994,0.044404117815632874,,
14,-11.432878602801503,-1.5155566734033865,0.0439877364608635,,
15,-12.179998060206433,-1.47010061123988,0.04326181738910923,78.62567291259765,2.755456566810608
16,-12.961099897106212,-1.4320771078129748,0.042579885019100164,,
17,-13.612299749401066,-1.3936133981167853,0.04222476331621304,,
18,-14.185926696345524,-1.3628925357665216,0.04187257974734204,,
19,-14.774194433472374,-1.3318645485631238,0.041354006876553565,,
20,-15.31800479301206,-1.3079400825750578,0.04121509794474716,77.39813613891602,2.8142179012298585
21,-15.886562399013892,-1.277714033393593,0.04085675925765368,,
22,-16.390816319864115,-1.2545203912508236,0.04043544940389953,,
23,-16.794364870970064,-1.2331863287862364,0.04018996570526355,,
24,-17.25813054525769,-1.214792981597927,0.04002621267935248,,
25,-17.704479561027114,-1.1943996437779674,0.03994983153668447,74.17170753479004,2.799298405647278
26,-18.231393809752028,-1.170421380596561,0.039554947213973145,,
27,-18.649131377468578,-1.1559856534004211,0.03956343244673306,,
28,-19.07144087144545,-1.1400277869267899,0.03924232035797167,,
29,-19.519212551300342,-1.1211322165452517,0.03923387923098814,,
30,-19.95453456390154,-1.1098966852768317,0.03909722684957478,76.32145767211914,2.8334017515182497
31,-20.48161171641383,-1.0921613105527173,0.03898812371771783,,
32,-21.006760884831834,-1.0764557803427421,0.03872747473040973,,
33,-21.488570890226562,-1.064862544970079,0.03864942859724763,,
34,-21.957094337806833,-1.0504875051391709,0.03854161040121494,,
35,-22.406128412610165,-1.036862251058325,0.038493598949317205,70.92684516906738,2.8028259754180906
36,-22.810524628795942,-1.0238298561189558,0.03833278157207724,,
37,-23.17831483487483,-1.0151667230612749,0.038325315062445096,,
38,-23.55800312407367,-1.0054528108843557,0.03840291483296811,,
39,-23.938263496235532,-0.9925544991359845,0.03827742227993033,,
40,-24.332669863167343,-0.9828630098096139,0.03820932554838189,69.90432205200196,2.8430481910705567
41,-24.68824497136203,-0.9738920457713254,0.03799352276316434,,
42,-25.056950357077007,-0.9664098120235897,0.03807938358985812,,
43,-25.42224809548238,-0.9562042258002542,0.03798589426519388,,
44,-25.801588473703475,-0.9466548260275301,0.03789440572930995,,
45,-26.26284604656113,-0.938330208421587,0.03797097826983871,69.58504676818848,2.8259926795959474
46,-26.747909236704555,-0.9297046670546898,0.03784734355668388,,
47,-27.03701815563482,-0.923862376246419,0.03791017974612883,,
48,-27.372390966648823,-0.9156979220730441,0.03785365884032726,,
49,-27.70082001310962,-0.9068588716166837,0.037782882567791436,,
50,-28.007759099406798,-0.9002583830506652,0.03778304947577612,67.11528701782227,2.822716546058655
51,-28.26897165608573,-0.8942280680983217,0.03779949959061415,,
52,-28.651639420085854,-0.8877348728946872,0.03792735839822701,,
53,-28.976479065168157,-0.8811591171718144,0.03789606437956511,,
54,-29.299602941699796,-0.876833114423952,0.03786947341412762,,
55,-29.5507486008264,-0.8680373682008756,0.03807830871782962,63.41839790344238,2.837707543373108
