epoch,loss_g,loss_d,fid,is_mean
1,4.29643544970484,0.604200842815054,272.07840118408205,1.7928779125213623
2,2.4259256068695256,0.9381058200360177,,
3,2.02711799041062,0.9790549247206508,,
4,2.109472699421686,0.8618950738565072,,
5,2.13712242106106,0.8161333035964231,100.75069122314453,2.595492053031921
6,2.109170684650853,0.8460538727524398,,
7,2.0822773871708895,0.8467261497686793,,
8,2.092536497679441,0.8364885948337875,,
9,2.0881013340251586,0.8438068375095622,,
10,2.1062375287596997,0.8413393917617265,68.72099990844727,2.8161540031433105
11,2.1007673451172226,0.8358641216179707,,
12,2.1306264742583663,0.8286786581982266,,
13,2.139397960801941,0.8285245934253807,,
14,2.1434189308506366,0.8401747191442059,,
15,2.1683318202204718,0.8130909975071055,51.458839416503906,2.9087098121643065
16,2.1957113914399313,0.8139996679200159,,
17,2.2157134456117147,0.8155263705426579,,
18,2.234099398898954,0.7890781728381461,,
19,2.2010719786058637,0.8311719709811929,,
20,2.2828795673898776,0.7844773061104588,46.216116714477536,2.8975597858428954
21,2.2531117608352282,0.8277338701892983,,
22,2.2548181716554594,0.7996817083938138,,
23,2.189501470519259,0.8420768147946655,,
24,2.1945972261125495,0.8658553345115868,,
25,2.326089248373141,0.7791727247615376,37.39939155578613,2.9073108196258546
26,2.304620508733368,0.8099041984839873,,
27,2.3460506457509798,0.790697652481861,,
28,2.236431361838094,0.8261352824216539,,
29,2.3780034541406416,0.7783460573716597,,
30,2.4241157109321625,0.7491483124454955,35.294711685180665,2.9479058027267455
31,2.411061809804385,0.7756098377225282,,
32,2.441552070168277,0.7653903420519579,,
33,2.463993929134408,0.7534153802307336,,
34,2.511388021551229,0.7173352735130103,,
35,2.5091699407308954,0.752944128267415,32.767747688293454,2.9387797355651855
36,2.537962854260227,0.733677821481353,,
37,2.515125834188339,0.7698462955966279,,
38,2.546329833792483,0.7135184697911039,,
39,2.5715754752633506,0.7426359186170401,,
40,2.5496669008621256,0.7506487326865846,31.77383975982666,2.93394877910614
41,2.5996210591426325,0.7134404627645349,,
42,2.4751050950376436,0.8033254639721001,,
43,2.4346501503947318,0.796056635083852,,
44,2.5258862696425224,0.7768823641111384,,
45,2.6463631989134777,0.6947871381117331,26.791754150390624,2.958659863471985
46,2.6866700155233927,0.7098745457828045,,
47,2.677374806127778,0.7049409387672281,,
48,2.6951184690262395,0.6936109954087468,,
49,2.6575067539455146,0.7388743729024501,,
50,2.7528950286130387,0.669184937510457,25.48210792541504,2.947659730911255
51,2.649138931911748,0.7715153336316556,,
52,2.7139231741555783,0.7073958191421482,,
53,2.795851292808938,0.6734192630210957,,
54,2.6500341335635538,0.7608754529038093,,
55,2.7545659817887307,0.6976460278346822,24.732093811035156,2.9435303926467897
56,2.7409459273030468,0.7292289509952485,,
57,2.7684630249008224,0.710799744928425,,
58,2.788883056779965,0.6826668375282438,,
59,2.8452793327635613,0.6712545508479739,,
60,2.8662054944301505,0.6538220731789,23.053032684326173,2.9658080101013184
61,2.89058867256105,0.673453550603423,,
62,2.8774906819419273,0.6720675163596244,,
63,2.8675172398752578,0.6689725924830336,,
64,2.871750175277153,0.6965571145286094,,
65,2.9071023134612384,0.6532099437932452,23.51981716156006,2.934222173690796
66,2.8947060591726843,0.6905658620950226,,
67,2.932617869574277,0.649610834490586,,
68,2.965965513859296,0.6432726245607946,,
69,2.9174242265423564,0.7085441900664693,,
70,2.9814410628763945,0.6286546955262864,21.452010917663575,2.95303692817688
71,2.997279050441335,0.6507272989183039,,
72,2.99467022978095,0.6604381542730998,,
73,3.0367558570376803,0.6248985450584572,,
74,3.0418293316444784,0.633797585490075,,
75,3.02689953428698,0.6730724523013288,22.136209869384764,2.953003168106079
76,3.019642179401614,0.6548863489779976,,
77,3.0239944587070884,0.6500003020402851,,
78,2.8196509061628707,0.7221350517358396,,
79,2.8981811829119715,0.6814678465361361,,
80,2.7451108407331253,0.8201934136919208,25.420401763916015,2.970147633552551
81,3.0238574635882216,0.641341864885567,,
82,2.999891156790179,0.6753820758599501,,
83,3.0277016016452776,0.6699523176138218,,
84,3.061271412256076,0.6420043058589205,,
85,2.8910386420839904,0.7109306733404006,23.381366157531737,2.9461392641067503
86,2.9201345957459077,0.7044624116506193,,
87,2.9484988732641186,0.68022111611037,,
88,2.9285057593475687,0.6964416046555225,,
89,2.830786294005754,0.7881001936910035,,
90,2.797083461784124,0.7366239809177139,25.834568786621094,2.9245866775512694
91,2.970332815844592,0.6721407939556179,,
92,2.9690373156565277,0.7123876868480152,,
93,2.9684494125306724,0.696295828528546,,
94,3.0172093433185507,0.6639268543440979,,
95,2.9857198752804783,0.6915376406762149,26.507330703735352,2.930182766914368
96,2.996850875078642,0.6760493416782026,,
97,3.0299983918242694,0.6851057812884138,,
98,2.8258743529237313,0.7583956419796377,,
99,2.8223255220520587,0.7515080091732365,,
100,2.935105419224226,0.7243841958004278,33.41367435455322,2.9048190116882324
101,3.0558967912660817,0.6588480459487105,,
102,2.984547786708592,0.7030635277134972,,
103,3.0607249547994426,0.6598938223938425,,
104,2.901504030891705,0.7837095027672245,,
105,3.0624527099457657,0.6428366097328546,31.604506301879884,2.9230889081954956
106,3.0628914162436205,0.6881710105686338,,
107,3.083341418322944,0.6615671533075246,,
108,3.09028957504714,0.6729460253530032,,
109,3.092670270987425,0.683625283029738,,
110,3.101147619603606,0.6563537937621554,34.020569801330566,2.8745937585830688
111,3.140265720519986,0.6622480076666062,,
112,3.1392826267133853,0.6430594889225659,,
113,3.1600271977067407,0.6464618873450305,,
114,3.119846558430838,0.7075390705278704,,
115,3.148874112046682,0.6278410026087211,34.26406726837158,2.8869210481643677
116,3.1953633446480842,0.6404267006299713,,
117,3.1904557440143364,0.6422931560269602,,
118,3.1959025579420004,0.6436819637988831,,
119,3.1920995241122228,0.6597541575456833,,
120,3.01625135476368,0.764253611159283,36.48263320922852,2.8912195205688476
121,2.823217752787946,0.7970878497339211,,
122,3.1677567722288877,0.6324001399839257,,
123,3.2128789527550135,0.6346451401397899,,
124,3.2354389026031627,0.6360180516916139,,
125,3.165945930090583,0.6783332167180267,34.84652862548828,2.880033826828003
126,3.197688987967707,0.6796363596263882,,
127,2.9825482676473243,0.7391628345148964,,
128,3.166412336785685,0.6574608887565303,,
129,3.24250609718973,0.6350721997345661,,
130,3.2299806770453614,0.6585639058188958,34.74548072814942,2.8649487495422363
131,3.2313241930600336,0.6560088608856802,,
132,3.272879631296321,0.625027199376088,,
133,3.2311501563181517,0.6652032361945489,,
134,3.2838610674065727,0.6180912908349004,,
135,3.2539650481350564,0.6644645727754056,34.062781524658206,2.8621571540832518
136,3.23990018442208,0.6662433342031249,,
137,3.2849986663127284,0.6198463376637522,,
138,3.306225090598935,0.6287096013608096,,
139,3.3289671192583925,0.6254498532393595,,
140,3.2859335082326893,0.6573381451355826,38.076920890808104,2.8739333152770996
141,3.3318024943706455,0.6216959067522646,,
142,3.322499119342546,0.6340196022724772,,
143,3.3110627385178724,0.641415150937709,,
144,3.317891679243087,0.6385776924868146,,
145,3.3451246390809546,0.6120230965628907,35.30793151855469,2.8783206701278687
146,3.3043621510351926,0.665337370476731,,
147,3.330763374279429,0.645169745708679,,
148,3.1871363165534357,0.6844145665583493,,
149,3.3656650445560787,0.6160953730761588,,
150,3.3349058380386287,0.6388816197070626,38.248078155517575,2.859264349937439
