epoch,loss_g,loss_c,gp,fid,is_mean
1,17.336352239613568,-7.165495671559296,0.10942242246637024,81.27444610595703,2.3866525650024415
2,11.629052265844404,-5.764134625665915,0.08181474788090573,,
3,5.153112567161292,-5.31112266482513,0.07514206027957981,,
4,0.3706402888171685,-4.962460404450001,0.06984836277596676,,
5,-3.5554837772529275,-4.682441772544396,0.06552930204804068,33.10878734588623,2.1987061500549316
6,-7.09199340851737,-4.466312804649581,0.06197423336335648,,
7,-10.171686540893106,-4.28389347678442,0.05877285968182309,,
8,-13.105577198116023,-4.12511399095061,0.05675375401226281,,
9,-15.557746703734693,-3.978750145346276,0.054401984921156596,,
10,-18.019969308979036,-3.8471065438289904,0.05227597413769462,23.247652053833008,2.148883414268494
11,-20.23789721617322,-3.740213674974798,0.05101161698573205,,
12,-22.330076642517348,-3.6381016335594234,0.049395594729871956,,
13,-24.204750396551418,-3.539897811985321,0.047846290305169376,,
14,-25.939118130408076,-3.45622079929649,0.046653765379158,,
15,-27.64078575055907,-3.3745242631804344,0.045988021004475896,19.964110946655275,2.119641137123108
16,-29.156834783065534,-3.302391619209037,0.044244768318254,,
17,-30.73818645406049,-3.2236757934920433,0.04306302353493241,,
18,-32.40047716183494,-3.168364661022337,0.04232352487872113,,
19,-33.806864223663425,-3.1029219942896953,0.04160266587105177,,
20,-35.13783066463573,-3.041017427108586,0.040853666749970714,17.79106674194336,2.1101989269256594
21,-36.345017713467364,-2.9938602970656616,0.03989065402384207,,
22,-37.468688646680896,-2.934999059434889,0.03907123154681276,,
23,-38.77524887174527,-2.887900596341812,0.03853652935650044,,
24,-39.77519806563664,-2.8486292693505546,0.03769697344294384,,
25,-40.724894026732876,-2.8003705426748433,0.0371650596649218,16.576907920837403,2.1068331241607665
26,-41.63367207322584,-2.754080013531631,0.036582516286056986,,
27,-42.49298961948814,-2.720162024034889,0.035744557815545266,,
28,-43.445879633525905,-2.6914922068951097,0.035748761726529396,,
29,-44.28459370958131,-2.6510709353419477,0.03494005242627007,,
30,-45.111267219510886,-2.6205816403269897,0.034539911047512764,15.213061141967774,2.097555899620056
31,-45.87836192588033,-2.5871830607427477,0.0338618968239724,,
32,-46.75325472413412,-2.551175098154563,0.0334278404611792,,
33,-47.38391559401342,-2.524743685320322,0.03304513980060013,,
34,-47.99578154003099,-2.491871464341529,0.0328308538605311,,
35,-48.73797572816831,-2.4736635938907,0.032558775741434,14.513128471374511,2.088570547103882
36,-49.29376357372695,-2.437148896810721,0.03193218889934475,,
37,-49.94014872140793,-2.4168040370228705,0.03184715507466549,,
38,-50.61871287326548,-2.394742452322228,0.031569502585375706,,
39,-51.27572094480663,-2.3674980008869313,0.030618437668537224,,
40,-51.821978697883665,-2.3436099118585902,0.030727160591860737,13.336513328552247,2.0925050258636473
41,-52.390675829110805,-2.326439286092557,0.030306994075327314,,
42,-53.073311059273934,-2.309418460679029,0.030270155731155247,,
43,-53.63714896968487,-2.28650970092578,0.03000546712517786,,
44,-54.088086166707534,-2.264816171000836,0.029547876846880167,,
45,-54.648152978952055,-2.244189394092865,0.02930699648219285,12.845630264282226,2.0877145528793335
46,-54.9876515949294,-2.229932865236459,0.02901754072780861,,
47,-55.360028930305795,-2.2133636938724086,0.02857940633857788,,
48,-55.66090109549312,-2.193453037013621,0.028517209645161922,,
49,-55.93057461863775,-2.185905941420711,0.02820537460069873,,
50,-56.347273807668124,-2.159953515328618,0.028005677139438218,12.11711368560791,2.088353419303894
51,-56.81248369735995,-2.1411964310653184,0.027534737827141026,,
52,-57.054975205933395,-2.131038390152482,0.027542186516616395,,
53,-57.277048500166885,-2.1189061477319155,0.02720399196170223,,
54,-57.5936941975336,-2.1088486658216414,0.02728839647760386,,
55,-57.789570442614966,-2.0892453013514762,0.026753185035485925,11.670384979248047,2.0819853782653808
56,-58.10730766898922,-2.082470085933852,0.026646988465040204,,
57,-58.37431616727164,-2.064590945086077,0.026351092727318122,,
58,-58.703422754016984,-2.052277631159144,0.02646396236003177,,
59,-58.99299622559115,-2.0392774710151405,0.026307293279205817,,
60,-59.13107358307569,-2.0271382159840714,0.026158264220971516,11.525884056091309,2.076630878448486
61,-59.35570009937917,-2.0126405510347705,0.0256743229816299,,
62,-59.51594610957223,-2.003611041692939,0.025803768478498947,,
63,-59.61119753858959,-1.9931562967208811,0.025411282837432648,,
64,-59.888564545215125,-1.9832647834541703,0.02527087592984984,,
65,-60.0196540148561,-1.9695440090834904,0.02514096163899072,10.735099506378173,2.080777978897095
66,-60.208309765126685,-1.9617893324844864,0.025029349225804833,,
67,-60.43396514925148,-1.944475443869543,0.024955749466395047,,
68,-60.69075910391141,-1.9392767532658042,0.02498927842825651,,
69,-60.77522379489439,-1.9300907102440312,0.024690969337549225,,
70,-60.86665771875208,-1.9177329532619218,0.02466068526048098,10.414503002166748,2.082334876060486
71,-60.88145400325161,-1.9123575237033972,0.02431525714315768,,
72,-61.05897793764748,-1.9005408984238208,0.024390725433585912,,
73,-61.227067901383336,-1.8982092426833375,0.02422141704550301,,
74,-61.3079916946916,-1.8857830552433952,0.023895856825805795,,
75,-61.54761427204535,-1.8746510040543758,0.024040211770055355,10.721889305114747,2.07809464931488
76,-61.639023702452505,-1.8664231918155827,0.023932499811426002,,
77,-61.79958951699696,-1.8598499953555958,0.023757023430352867,,
78,-61.84738827627014,-1.8553163709609968,0.02355844817022925,,
79,-61.83901252583735,-1.8512308676443845,0.023519447266637062,,
80,-61.7502318159366,-1.8350500735809099,0.023474684948690053,10.146747970581055,2.0739216804504395
