epoch,loss_g,loss_c,fid,is_mean,is_std,run
1,-4.15554445823169,-32.88021444865689,263.26214599609375,1.459091067314148,0.010856716893613338,1
2,0.5137847755898797,-17.69049962843764,,,,1
3,0.60372199687583,-16.228002433038625,,,,1
4,0.950648041133067,-12.827288743123813,,,,1
5,2.08528513110362,-11.618073700841569,223.8594207763672,2.3513081073760986,0.022757340222597122,1
6,1.278411602021723,-10.21177096449745,,,,1
7,0.8108232419461153,-8.121558731050476,,,,1
8,1.6821706003981745,-8.045405687690723,,,,1
9,1.0884110330158219,-7.053765840703654,,,,1
10,1.3647796960038503,-6.7896812407703,209.51646423339844,2.54399037361145,0.040218863636255264,1
11,1.3934193703518094,-6.489420789301302,,,,1
12,1.106153048504303,-6.263761222645004,,,,1
13,1.3685763858682454,-6.007200114610259,,,,1
14,1.0569065281400372,-5.6303703398877785,,,,1
15,0.8614445390394561,-5.170079377081722,198.65512084960938,2.6461570262908936,0.04636462405323982,1
16,0.7571295237136302,-4.858566455592476,,,,1
17,0.8030701073778184,-4.6598271950349615,,,,1
18,0.7060536206015761,-4.425684093251989,,,,1
19,0.5434233779814477,-4.160485410162999,,,,1
20,0.5296342205638758,-3.9780707304134943,190.42088317871094,2.871528387069702,0.05192854255437851,1
21,0.42052914522953133,-3.801129573357614,,,,1
22,0.38970726342021383,-3.58349737983556,,,,1
23,0.3485440902894519,-3.4288846107126223,,,,1
24,0.3778866802958704,-3.3140304937746854,,,,1
25,0.34386032282670526,-3.220249086081699,203.25271606445312,3.1046555042266846,0.046750862151384354,1
26,0.40707327430599954,-3.0499529930935085,,,,1
27,0.29487139441979254,-2.9617049819626513,,,,1
28,0.3106819137177573,-2.822732361459054,,,,1
29,0.26310979096457293,-2.7167851599801396,,,,1
30,0.3290768025469441,-2.653076033381301,208.97576904296875,2.9082322120666504,0.04932999983429909,1
31,0.18271874476865663,-2.593687166111164,,,,1
32,0.253151409116119,-2.5610028917755563,,,,1
33,0.18860265940168836,-2.484877650046612,,,,1
34,0.18540578059157678,-2.4140759026552265,,,,1
35,0.13018787004536173,-2.3445787418933843,209.75653076171875,3.1917648315429688,0.06651735305786133,1
36,0.14758678080181564,-2.2814659990452664,,,,1
37,0.06877928163626748,-2.2907425399546,,,,1
38,0.1268675714366338,-2.226304117589012,,,,1
39,0.09011651998353419,-2.187601823415048,,,,1
40,0.08003739808431545,-2.1272753064289667,213.0269012451172,3.3089656829833984,0.07542871683835983,1
1,-4.035827398038577,-32.359498975747876,242.99273681640625,1.4941641092300415,0.016931360587477684,2
2,-10.18215247149363,-21.214409970257897,,,,2
3,-0.509026110268788,-17.7528592572958,,,,2
4,5.007900941572013,-9.562453841692275,,,,2
5,0.1069911848983211,-9.566902795278631,258.7744445800781,2.1784379482269287,0.02671872079372406,2
6,-0.757719218231867,-9.876173155129804,,,,2
7,-0.02288984920811879,-9.49581363868751,,,,2
8,0.7529797744612088,-8.391995009982379,,,,2
9,1.0575149914064397,-8.06640353657623,,,,2
10,0.5604804211765481,-7.047519590099465,178.35342407226562,2.5131893157958984,0.030426522716879845,2
11,-0.74721533374752,-6.610020341692378,,,,2
12,-0.7919079927124354,-5.779058847193846,,,,2
13,-0.7379222291240712,-4.782129004875443,,,,2
14,-0.7888270238470315,-4.223228004984381,,,,2
15,-0.7641561030658877,-3.818694861051972,182.6408233642578,2.844059467315674,0.03521309420466423,2
16,-0.7441083209065347,-3.517342209778314,,,,2
17,-0.7124900033729854,-3.2610875319907264,,,,2
18,-0.6758280002875445,-3.041874077421794,,,,2
19,-0.6783081735682925,-2.814043043198367,,,,2
20,-0.6681203426078174,-2.6800762510224354,175.97959899902344,2.7449986934661865,0.037870265543460846,2
21,-0.6629482685551518,-2.5816696841569873,,,,2
22,-0.6616982330490156,-2.4854948921791187,,,,2
23,-0.6654032114022198,-2.3836172226669285,,,,2
24,-0.6583302500900499,-2.283775896314196,,,,2
25,-0.6651288074504519,-2.1928332850454733,180.6077117919922,2.7396302223205566,0.037631869316101074,2
26,-0.6481696956130377,-2.1095243040795952,,,,2
27,-0.6597490992864938,-2.0315680025124814,,,,2
28,-0.6609180984639019,-1.9661304922088816,,,,2
29,-0.6594672889317759,-1.918305827411242,,,,2
30,-0.6481148417733057,-1.8663251984364237,185.5420379638672,2.9033970832824707,0.059661317616701126,2
31,-0.6461794395377862,-1.8147624445564186,,,,2
32,-0.6434509336768898,-1.7712291777793077,,,,2
33,-0.6478529421180063,-1.7295238127452315,,,,2
34,-0.6435639156472956,-1.6782017146241608,,,,2
35,3.289846388289431,-1.9098585018190728,214.1905517578125,2.981999635696411,0.05535699427127838,2
36,4.292646017567053,-1.6869103322285235,,,,2
37,2.66323418074286,-1.3713073288612834,,,,2
38,1.458159307677646,-1.1892333993085,,,,2
39,0.8606897861554065,-1.0763658380939214,,,,2
40,0.49053691412435513,-1.0224918916256507,214.0514373779297,2.9072651863098145,0.06424286961555481,2
1,-4.404566313479078,-37.387396808088674,248.92454528808594,1.548505425453186,0.012617895379662514,3
2,0.36696388595994994,-16.674607734930646,,,,3
3,-0.24722471629132592,-14.658276479372292,,,,3
4,1.166466311799689,-14.648798399174948,,,,3
5,0.4330003554457548,-12.13597958829919,210.85060119628906,1.9999195337295532,0.029278403148055077,3
6,1.8503138772013346,-11.287791808596907,,,,3
7,1.649251107758538,-10.18693763083568,,,,3
8,0.7539201835944284,-8.37545713116584,,,,3
9,1.3953648032994255,-8.021729427001675,,,,3
10,1.3405657550405363,-7.239633987978172,215.9138641357422,2.6604185104370117,0.05079689994454384,3
11,1.3236397595567067,-6.729647558936953,,,,3
12,1.3384385247483825,-6.642693588933297,,,,3
13,1.1458380050486392,-6.346790890369746,,,,3
14,0.9635094250312537,-6.021424307981373,,,,3
15,0.8090313475373043,-5.623917117653677,203.07904052734375,2.7627320289611816,0.029627030715346336,3
16,0.7110228175612234,-5.26543774973913,,,,3
17,0.5781583352040905,-4.907354132315559,,,,3
18,0.4609755773114932,-4.5525595587765055,,,,3
19,0.48707483556904313,-4.393249515560566,,,,3
20,0.35381014254444393,-4.205644725962273,196.77427673339844,3.0435492992401123,0.05643835291266441,3
21,0.3529536095946603,-3.928192890519026,,,,3
22,0.29576169467791563,-3.770433400338295,,,,3
23,0.2990848407490653,-3.6525937669744235,,,,3
24,0.19289195498607548,-3.4428897359359887,,,,3
25,0.17667877912686147,-3.3630211548970963,210.6440887451172,3.2088348865509033,0.08181975036859512,3
26,0.14221455435640815,-3.2224589780137816,,,,3
27,0.1925358966887468,-3.064109868329095,,,,3
28,0.15835126073321837,-2.9728044633004713,,,,3
29,0.15375556873413623,-2.866466998215912,,,,3
30,0.1452785990508435,-2.772158025362857,208.90255737304688,3.270643949508667,0.07690394669771194,3
31,0.11738089923562973,-2.712141371719645,,,,3
32,0.10802045378357314,-2.5965813245630187,,,,3
33,0.10929696440908582,-2.547624251528939,,,,3
34,0.09834549830046499,-2.5087328179187685,,,,3
35,0.18337339198490454,-2.4588375827900792,212.9593505859375,3.286869764328003,0.05563885718584061,3
36,0.050694111337970596,-2.3643471076543108,,,,3
37,0.06871343322368971,-2.3330126120298393,,,,3
38,0.09738976344419129,-2.3090969700054345,,,,3
39,0.07787979668680149,-2.2387386805873724,,,,3
40,-0.0022625502157738613,-2.1924744200132094,216.69004821777344,3.379345655441284,0.05567597970366478,3
1,-3.61355971832742,-24.926909450308596,265.1151428222656,1.9629305601119995,0.02646111138164997,4
2,-0.021054950505965883,-16.479480928860568,,,,4
3,0.26134616334409133,-15.816086345072982,,,,4
4,1.384258951439771,-13.417981194009148,,,,4
5,0.6759033302842723,-11.074263205912441,201.2705535888672,2.2603845596313477,0.046226125210523605,4
6,2.5032906506875587,-11.81077323449543,,,,4
7,0.643669708764054,-9.73246937302805,,,,4
8,0.5824962215695242,-7.93235307730393,,,,4
9,1.3532382748267755,-7.60095808762133,,,,4
10,1.3867701817427485,-6.9755371833676225,209.13685607910156,2.6286745071411133,0.04472187161445618,4
11,1.8786823910277037,-6.9518883255514865,,,,4
12,1.8109716077975186,-6.782956069340638,,,,4
13,1.506821189361726,-6.45424894891079,,,,4
14,1.3032147734739346,-6.132360819429395,,,,4
15,1.2364739046242281,-5.771560135347206,197.17262268066406,2.8178532123565674,0.052921850234270096,4
16,1.1546975669267148,-5.433986523177763,,,,4
17,1.1395627604712149,-5.187659147640728,,,,4
18,1.150377886325686,-5.06161116710018,,,,4
19,1.022711809757526,-4.7377366249406885,,,,4
20,0.9863928580924421,-4.567296536951833,189.5028839111328,2.7689898014068604,0.03788838908076286,4
21,0.9403497761600955,-4.370668931594957,,,,4
22,0.9800268127549128,-4.274637894777325,,,,4
23,0.8135757643882462,-4.059661339032706,,,,4
24,0.7267232267848124,-3.892814612087292,,,,4
25,0.5930575437590739,-3.712989017466233,194.58697509765625,2.86118221282959,0.054901424795389175,4
26,0.5774813862184967,-3.570641492083551,,,,4
27,0.5203721841906107,-3.4529929297795228,,,,4
28,0.46931065047898374,-3.343401098524413,,,,4
29,0.33920502794250307,-3.1729632267643115,,,,4
30,0.382292016419048,-3.1174887530282023,199.75282287597656,2.893376588821411,0.07145670801401138,4
31,0.29616458823354136,-3.0324465409180186,,,,4
32,0.3517378695473946,-2.94148645149588,,,,4
33,0.32678195596400406,-2.828014531802227,,,,4
34,0.278433290146303,-2.751692783959669,,,,4
35,0.22981239551969615,-2.6789608074308005,209.96096801757812,3.0407421588897705,0.0420968234539032,4
36,0.18217490078148685,-2.6142113898885193,,,,4
37,0.21203301599452282,-2.541536153605764,,,,4
38,0.12360293975608985,-2.4528576831352464,,,,4
39,0.17679466076112849,-2.3858713194280625,,,,4
40,0.12278655923867678,-2.3533405192420003,212.89974975585938,3.0896167755126953,0.07727491855621338,4
1,-3.480807698283368,-34.46562576088672,266.4750061035156,1.5777695178985596,0.012269709259271622,5
2,0.2551821893931471,-16.338300764249965,,,,5
3,-0.41058860582433415,-15.654326804554293,,,,5
4,1.9451472741873908,-13.71147521434802,,,,5
5,1.7654551710656845,-12.657360840559383,204.62966918945312,2.0512759685516357,0.03149085119366646,5
6,0.8220947532715955,-10.322514711624073,,,,5
7,0.7434815481316893,-8.699586048510403,,,,5
8,1.0273761883825299,-8.048921814085372,,,,5
9,1.2553361358541824,-7.43872830415789,,,,5
10,1.4385676796013993,-6.950264638822414,216.24777221679688,3.0465283393859863,0.06355423480272293,5
11,1.5150938846665254,-6.671831068570769,,,,5
12,1.2637082671890798,-6.375778345963778,,,,5
13,1.3669239557137798,-5.974058794334978,,,,5
14,1.194736538471957,-5.673694739936841,,,,5
15,1.0464438531694913,-5.207414081763317,189.4242401123047,2.779806137084961,0.04303394630551338,5
16,0.9838690905774374,-4.8853933362975885,,,,5
17,1.0283872917435746,-4.7336998420869,,,,5
18,0.932529494334689,-4.501701602928258,,,,5
19,0.9308530302509359,-4.337708218628761,,,,5
20,0.7256073748884136,-4.01253456116476,197.92727661132812,2.8562800884246826,0.056610528379678726,5
21,0.6567193317293273,-3.8408276075812124,,,,5
22,0.6722063964312252,-3.7115372624819125,,,,5
23,0.622868824006304,-3.538696472711661,,,,5
24,0.6594356825472243,-3.4539657921964335,,,,5
25,0.5830270173766696,-3.3367133621355936,211.97280883789062,2.9203670024871826,0.03789509832859039,5
26,0.5990084761844898,-3.2262444718000824,,,,5
27,0.47592710814134204,-3.084510257986108,,,,5
28,0.4445228435970125,-2.924061431482693,,,,5
29,0.4026613531854904,-2.86904507670169,,,,5
