epoch,loss_g,loss_c,fid,is_mean
1,-3.9380611172720266,-32.403929088737755,257.3539154052734,1.608492136001587
2,-1.813455314211324,-17.679459805347342,,
3,-0.06035425443290535,-16.021910263866797,,
4,2.0908843040263863,-12.83359947846964,,
5,1.0133270345595304,-11.410516026178243,219.87693786621094,2.168265223503113
6,1.1392783329900689,-10.701804774868734,,
7,0.7648671514784555,-9.247273084422423,,
8,0.9597885936811732,-8.158826544045649,,
9,1.229973047680529,-7.636317039212156,,
10,1.2182327467130165,-7.000527328207594,205.83367614746095,2.678560209274292
11,1.072724014371045,-6.690561616810578,,
12,0.9454726911053697,-6.368849614815312,,
13,0.9300474613736638,-5.912885550620243,,
14,0.7459080482540302,-5.5362156424439535,,
15,0.6378475082609184,-5.118333114579579,194.19436950683593,2.7701215744018555
16,0.5725221355744943,-4.792145254917054,,
17,0.5673376982847426,-4.549925569813775,,
18,0.5148217156571799,-4.316686099895746,,
19,0.46115097599813204,-4.088644562498276,,
20,0.3854648506962716,-3.888724561102959,190.12098388671876,2.857069253921509
21,0.34152071883169255,-3.7044977374419594,,
22,0.33520078684705035,-3.5651201659224427,,
23,0.28373406160616954,-3.412690682419668,,
24,0.2597214589047866,-3.277495306061719,,
25,0.20629897112777168,-3.165161181125219,200.21286010742188,2.9669339656829834
26,0.2155215990904713,-3.0357644478141035,,
27,0.16479149683079966,-2.9189772081139713,,
28,0.14438971401261397,-2.8058259693951024,,
29,0.09985289037898534,-2.708713257814659,,
30,0.11729893868368288,-2.631642436073478,201.69668273925782,3.0052228450775145
31,0.06348515206506537,-2.570583541236029,,
32,0.08663938023073461,-2.4945887484242566,,
33,0.04637798578159128,-2.4238317344557805,,
34,0.044666782762814085,-2.3618358531438908,,
35,0.8235961872755915,-2.356866572632044,211.54688720703126,3.1299641132354736
36,0.9809472293078334,-2.259653664714352,,
37,0.6444695952205107,-2.1637345183705454,,
38,0.39488340111634745,-2.080491464898861,,
39,0.273511977915374,-2.009814834507862,,
40,0.15783699841154694,-1.9609889073578102,213.01319885253906,3.179644775390625
