epoch,loss_g,loss_d,fid,is_mean
1,2.887030035098736,0.1954087111164034,337.93739013671876,1.0302665472030639
2,4.82686430561599,0.16347993999176347,,
3,3.3514259413776237,0.2636649046957883,,
4,3.1510636418866804,0.28747355720171563,,
5,2.776095760594576,0.32188586079730436,267.29683074951174,2.2229836344718934
6,2.481694018713429,0.3610647096242915,,
7,2.2238545911816447,0.39699742715391845,,
8,2.09596087905841,0.407286649184604,,
9,1.991032609795658,0.4227484063269237,,
10,1.8528304640553954,0.45486672285020857,215.94849243164063,2.8151947021484376
11,1.7841510648274013,0.47006330284425335,,
12,1.7345462455071954,0.47790251129712813,,
13,1.6540619638485787,0.49736108776723215,,
14,1.5782911234750199,0.5072377832272114,,
15,1.5256842262215085,0.5204822489784824,188.58958282470704,2.9446998119354246
16,1.4978428616291946,0.5298545289243388,,
17,1.4345047911326598,0.5396941919293669,,
18,1.387501207828267,0.5487458069609781,,
19,1.348715308856251,0.5557367164609779,,
20,1.321239498295845,0.5633310319330448,169.93331909179688,3.0891645431518553
21,1.2876415960554384,0.5691962299820704,,
22,1.259811362433128,0.5745531819633439,,
23,1.232740063010118,0.5820917872218494,,
24,1.2100887089967727,0.5848304115745246,,
25,1.1906633471894978,0.5889810395228048,155.76396484375,3.294204664230347
26,1.1654686460956039,0.5922706111437744,,
27,1.1461152378183146,0.5955482263659311,,
28,1.1241856108618598,0.5996851080375859,,
29,1.1085855975938148,0.6034920885267421,,
30,1.0901432103007775,0.6058839812237993,143.95782165527345,3.367358136177063
31,1.0760495410515711,0.608966481176197,,
32,1.0619697883152044,0.6116367671288486,,
33,1.0498384810920454,0.6134937551031765,,
34,1.0407494051270505,0.615977751215299,,
35,1.0266668140378772,0.6170126233600144,135.8946075439453,3.458393096923828
36,1.0173979135914746,0.6189359203872518,,
37,1.009555547983728,0.6215932285556426,,
38,1.0005225354917031,0.6231440176693802,,
39,0.9917990553455475,0.6240585553340423,,
40,0.9858225068857527,0.6263212631910275,132.95216217041016,3.5300277709960937
41,0.9784569328603071,0.6269799133523917,,
42,0.9733665509611112,0.6293129310139224,,
43,0.9703395693348004,0.6301288270033323,,
44,0.9612587139901952,0.6311726804472443,,
45,0.9549684623877207,0.6326039048596325,126.88977584838867,3.529179000854492
46,0.9530764804436611,0.6333063224569345,,
47,0.9499872430394858,0.6338476015716537,,
48,0.9453143972171167,0.6349567818972799,,
49,0.9408343369634743,0.6359091071873648,,
50,0.9372385324958044,0.6367416752327202,125.37871551513672,3.5642388820648194
51,0.9346689673188406,0.6378022419718595,,
52,0.9314767833958324,0.6390270966240483,,
53,0.9286074863667162,0.6392566208656018,,
54,0.9238345465471601,0.6402925599716667,,
55,0.9238705518026638,0.6408535928425626,122.31707534790038,3.620377254486084
56,0.9206151683233742,0.6416225847143393,,
57,0.9193026449690518,0.6416589617092385,,
58,0.9203004607150698,0.6416718453041509,,
59,0.9167884863849378,0.641994589401616,,
60,0.9158085253630948,0.6427900763913097,120.10335235595703,3.606680154800415
61,0.914315638761235,0.6424998468822902,,
62,0.9137844736377397,0.6429434136702464,,
63,0.9153950308760008,0.6433930064623172,,
64,0.9128592630100046,0.6432665591948052,,
65,0.9134343411805282,0.6433644462090272,118.26330184936523,3.6171817779541016
66,0.9133653335591667,0.6430685905309824,,
67,0.9119967991979714,0.6429843322334127,,
68,0.9113347227119991,0.6438858209002731,,
69,0.9114685251799404,0.6435898820304463,,
70,0.9113671336036463,0.6439038867369676,116.96028060913086,3.618189215660095
71,0.9114656212620247,0.6436668097208708,,
72,0.9121392267764123,0.6431843952236013,,
73,0.9124216723773214,0.6425712460126632,,
74,0.9136703738799461,0.6428089150888289,,
75,0.9137520534997312,0.6425381608625763,113.7553337097168,3.630502939224243
76,0.9133483672498638,0.6427389526851157,,
77,0.9139747188896197,0.6426093152318245,,
78,0.9147603362034529,0.6423380071536089,,
79,0.9151005259945861,0.6417328210595327,,
80,0.9170620530716374,0.6415676364913965,113.02857513427735,3.659279727935791
