epoch,loss_g,loss_c,gp,fid,is_mean
1,11.740751457529237,-7.437862095825191,0.10995184201448997,120.70422744750977,2.7924567222595216
2,12.490994018068182,-5.749820244706682,0.07302516861813761,,
3,11.705303939709413,-4.88379288065777,0.05832368898202478,,
4,10.984540012017641,-4.480665452732221,0.05190625857182142,,
5,10.305439238130983,-4.2277660666560415,0.04808786360362073,54.20380058288574,3.6543307065963746
6,9.666075263690033,-4.029066910051613,0.04508565751112115,,
7,8.956534397913781,-3.8790039738825066,0.04283092779096458,,
8,8.26916851911499,-3.7284776290681854,0.04040299365356596,,
9,7.629119645633208,-3.6146148869423884,0.03884965233045572,,
10,7.0019247049449875,-3.492416125122486,0.036924822848655975,40.86409797668457,3.8256491899490355
11,6.493213128748975,-3.392372384778718,0.03552482831048338,,
12,5.938472085838924,-3.2865660355719584,0.03371489240699462,,
13,5.37722208472436,-3.1986569233230746,0.03254999476763258,,
14,4.966675307630315,-3.1163358278182933,0.03115539366350556,,
15,4.6298129520539035,-3.030495517599926,0.02995126690281199,33.832077217102054,3.888903832435608
16,4.173069626549328,-2.9637135772720344,0.02887487555143355,,
17,3.8865197566702663,-2.8906484657697766,0.028067971651890615,,
18,3.6181791077217875,-2.8287382710577966,0.02717827183265028,,
19,3.4426343942663395,-2.7678290216301904,0.02622406691468839,,
20,3.2545299920819004,-2.720149880844857,0.025584968123853347,29.517315292358397,3.945028853416443
21,3.0414379781738257,-2.668957653536741,0.025057705850693272,,
22,2.9566564098298707,-2.61345385437714,0.02424485379558657,,
23,2.817364748055662,-2.5694649019134466,0.02370461625625502,,
24,2.6799355017583872,-2.529442878632052,0.023160065031235712,,
25,2.5646651570453622,-2.489361581368533,0.02259445904273035,26.809994316101076,3.9607941150665282
26,2.5438432492498655,-2.4522853373272566,0.02215872537145906,,
27,2.333514765713249,-2.4063017563860596,0.02158359775241174,,
28,2.139338390704089,-2.366164298156791,0.021224641816823753,,
29,2.036378127881977,-2.341071346023676,0.020922456035617116,,
30,1.9863832093717626,-2.316441183169089,0.020314013722363616,24.555786895751954,4.0034139394760135
31,1.9707850998245668,-2.2806653435482156,0.02003598255771257,,
32,1.8847525551649789,-2.242135810826606,0.019756479578374973,,
33,1.903194612622452,-2.222370373477549,0.019330510832747026,,
34,1.955979199591416,-2.197245938686322,0.01895882901700816,,
35,1.8942109032093746,-2.1744744082779617,0.018735618412637788,24.050320625305176,3.9924742221832275
36,1.8404369771088949,-2.146879183667192,0.018527998537145228,,
37,1.8560416344664552,-2.1254277731972797,0.018164264022103305,,
38,1.7425377167602296,-2.101501069341169,0.017966772268477555,,
39,1.6506710558569133,-2.086627035149897,0.017969702051061912,,
40,1.5707333547251026,-2.0655869937566456,0.017511153744042652,22.567877769470215,3.987306833267212
41,1.6234515856772567,-2.0491400159092317,0.017468142442965805,,
42,1.5760395982269926,-2.0255151981605155,0.017074085448783093,,
43,1.5951699770016947,-2.003446318541545,0.016954758029014645,,
44,1.5770499579220802,-1.9843113954319134,0.016657472457791398,,
45,1.5609696399961206,-1.9676048627498948,0.01652226316173071,21.887127304077147,4.001453638076782
46,1.6447063191576183,-1.9529316865456399,0.01633595861829996,,
47,1.520669711242244,-1.934164668366774,0.01615679934561221,,
48,1.5430443137810588,-1.920065756232787,0.015981036614926815,,
49,1.4993628534564913,-1.9026622223227485,0.01578203087323221,,
50,1.5013369883801253,-1.8972744554281236,0.01564752949350051,20.933929252624512,4.03564977645874
51,1.4694471695507094,-1.8780224152092237,0.015527657255318647,,
52,1.5447032949837518,-1.8662835441092416,0.015450472517978705,,
53,1.55348687841057,-1.8531772890970064,0.015161516712784665,,
54,1.5690649353073094,-1.8453371215782652,0.015165560950327311,,
55,1.6596619196556184,-1.825469976854426,0.014934745147076845,19.983809089660646,4.067151641845703
56,1.6219391859328354,-1.8161983150332817,0.014814956305924259,,
57,1.5431761993423279,-1.8014664512401963,0.014640355418290119,,
58,1.5572561638765712,-1.7878255420840539,0.014430557476036577,,
59,1.5574783836090849,-1.7807515859158596,0.01454868925710009,,
60,1.584954356368166,-1.7762030773127218,0.014450423644578308,19.756726837158205,4.075391626358032
61,1.7107724520472238,-1.7563117490093378,0.01426840251492557,,
62,1.7680240577984336,-1.7407010237365292,0.014044700344609992,,
63,1.897598280786689,-1.7318709934597465,0.013953777591562697,,
64,1.8977453486165956,-1.725377146732718,0.01387134122412767,,
65,1.9787162616107465,-1.722178196852973,0.013826511924407517,19.45498695373535,4.084144234657288
66,2.098299472068368,-1.7093627636498805,0.013779085496661184,,
67,2.075316045224555,-1.696336709731035,0.013620480875735119,,
68,2.0857932850964995,-1.6862986826782165,0.013541603089397697,,
69,2.2253306397349197,-1.6701297594172722,0.01334547747210813,,
70,2.3776687151912435,-1.6732585265675883,0.013378484155600065,19.155323219299316,4.057317852973938
71,2.342676495608805,-1.6665774561671527,0.013342109195422877,,
72,2.3642245636099952,-1.655672852543909,0.013267890651727229,,
73,2.2713608294520666,-1.6442873968115612,0.013130992758356178,,
74,2.338621477317065,-1.6358067747114053,0.013024046635101155,,
75,2.404430978777625,-1.6296144164947588,0.012890451802303587,18.37706069946289,4.070613718032837
76,2.3512995501530924,-1.6176987885633678,0.012782233522726838,,
77,2.3390508356578685,-1.614437766921813,0.012826125230217747,,
78,2.330556641267404,-1.6085338773442435,0.012720053478366753,,
79,2.4469347411281603,-1.5919027217328865,0.012576126233598054,,
80,2.5359797528341588,-1.58663612066459,0.012614189088096089,18.097661018371582,4.087578535079956
