epoch,loss_g,loss_c,gp,fid,is_mean,is_std,run
1,12.177837805661474,-7.445366182602076,0.11007308673507185,128.4729766845703,2.639996290206909,0.01582852378487587,1
2,14.36361108492889,-5.831997556900139,0.07580879784667251,,,,1
3,14.405736079465363,-4.950877745861432,0.06036253545230519,,,,1
4,14.925645635883734,-4.566765584202688,0.05349579678894107,,,,1
5,15.25094947692806,-4.28230594494554,0.049859646327093866,55.901573181152344,3.6035714149475098,0.08638250827789307,1
6,15.218549720251191,-4.04767453479665,0.04572569378209375,,,,1
7,15.066715931561612,-3.9332591609486647,0.04450925030490123,,,,1
8,14.57416441600885,-3.7508186301655804,0.04187121889837237,,,,1
9,14.02978071255516,-3.6660602222511836,0.04080617842100473,,,,1
10,13.70866104785508,-3.511967896142917,0.03845869545927202,43.15612030029297,3.8316285610198975,0.10439678281545639,1
11,13.235196989908289,-3.4456481999750452,0.03647804643119921,,,,1
12,12.814195386628077,-3.3039073567507486,0.03449883840862848,,,,1
13,12.315699725929676,-3.2319723320618,0.034000561635229604,,,,1
14,12.050222365298927,-3.1512501293210873,0.032070261564427785,,,,1
15,11.460277150254875,-3.090633378593746,0.031081203056207145,35.30634307861328,3.8658134937286377,0.09134352952241898,1
16,10.710626304467688,-3.022784798478622,0.02987673281410683,,,,1
17,10.138884953017422,-2.9382448969935657,0.028522476620510967,,,,1
18,9.52837204602383,-2.875081497678889,0.028412735094629396,,,,1
19,9.143057222681849,-2.808690677712032,0.026976683443430075,,,,1
20,9.164878880328786,-2.753207518425924,0.026320432775466043,29.479084014892578,3.908886671066284,0.0956898033618927,1
21,8.627833090062584,-2.7222890950572403,0.026237867092723653,,,,1
22,8.352097873626676,-2.658502362199374,0.025022119115700143,,,,1
23,8.046892792590782,-2.601460420970856,0.02425853163401498,,,,1
24,7.680888152046163,-2.568177202849658,0.02397939407991259,,,,1
25,7.164799513150178,-2.534966853792156,0.023231998612764298,27.65064239501953,4.03646183013916,0.11858100444078445,1
26,6.516546722664523,-2.498344921633172,0.022607063446213813,,,,1
27,6.232248131976947,-2.4526396119607297,0.022033777500412317,,,,1
28,5.637474539949138,-2.439147018572055,0.021724451928157976,,,,1
29,5.243241289000374,-2.3817339172485417,0.021665215469884865,,,,1
30,4.82343883371913,-2.3698123689649453,0.021020414971665995,25.75878143310547,3.922780990600586,0.1206490769982338,1
31,4.995418958882767,-2.333218429742526,0.020824748117242133,,,,1
32,4.846277330193983,-2.2829217985829016,0.02047468546485745,,,,1
33,4.735771603365463,-2.2626035989539472,0.019731106541219904,,,,1
34,4.514788125342468,-2.245371402391375,0.019829618356418235,,,,1
35,4.563940412588537,-2.2120270694714343,0.019604682162992472,24.883283615112305,3.9499497413635254,0.1016528457403183,1
36,4.089562883880884,-2.1942570017394285,0.01915074008136288,,,,1
37,4.122269310208242,-2.176750272289793,0.018815295456182074,,,,1
38,4.035374429891942,-2.1419333004518912,0.01864941571983275,,,,1
39,3.924420792494156,-2.1309788667277823,0.01856024692773326,,,,1
40,3.9698473996897263,-2.1053822593984126,0.018308085523120337,24.20632553100586,4.083497524261475,0.0738791823387146,1
41,4.230690515410302,-2.0864743140616566,0.017942976423717137,,,,1
42,3.9155379306035973,-2.0665134794556854,0.017475573738128455,,,,1
43,4.212908297339842,-2.0495411697039607,0.017356155147495715,,,,1
44,4.1616183970374,-2.047633083869197,0.017175544427037875,,,,1
45,3.948310161794644,-2.0201298742691254,0.017050596588194817,22.32474708557129,4.034666538238525,0.07576856762170792,1
46,3.9971987067571697,-2.0049184179738595,0.01715579821172557,,,,1
47,3.996955582400905,-1.9679325611003562,0.016615292556850257,,,,1
48,3.814395590551126,-1.9589971861818938,0.016447584726723467,,,,1
49,3.673293967129963,-1.9351380533571558,0.016199005651411975,,,,1
50,3.6361994163839895,-1.9397804885943646,0.016065963993212775,22.00698471069336,3.9969594478607178,0.10606703907251358,1
