epoch,loss_g,loss_c,fid,is_mean
1,0.5415184937428504,-1.0768992389825658,117.00274505615235,2.230850839614868
2,0.4862275349259918,-0.9669901269664886,,
3,0.41302565930146395,-0.8244756233127196,,
4,0.3495437405554881,-0.7057993481886142,,
5,0.3072296248872707,-0.6311076959595672,55.06867446899414,2.483901119232178
6,0.27602360285132954,-0.5848694885662193,,
7,0.258699991889504,-0.5579615223257086,,
8,0.24661509483138994,-0.5371286779858678,,
9,0.24053284169429262,-0.5113300582985459,,
10,0.22624339817152878,-0.47297551515637226,50.023477172851564,2.6212135314941407
11,0.20514749937125823,-0.4285745965706488,,
12,0.19333240218166303,-0.3894500918838227,,
13,0.17089267483664497,-0.34897281047139217,,
14,0.15121866066873185,-0.29260737820197413,,
15,0.1311211184675233,-0.22119358798842081,64.81071243286132,2.6554245948791504
16,0.11255755485095802,-0.15022133650558325,,
17,0.11115799041435499,-0.14986415227074737,,
18,0.1101285115435078,-0.16165614934184985,,
19,0.12228668599854417,-0.15776614869581346,,
20,0.11407635426223808,-0.15910982960061204,96.23166961669922,2.90417537689209
21,0.10787174007526523,-0.17501497210278566,,
22,0.11294398394439775,-0.18569705355014965,,
23,0.09257091585462132,-0.1885666583058252,,
24,0.10345246213726629,-0.185594327094307,,
25,0.09772954022017488,-0.1850730165883922,105.75884094238282,2.9343538761138914
26,0.1118839693888816,-0.19545146713913147,,
27,0.0890941113160002,-0.20017031515935235,,
28,0.09045517914144302,-0.20530315470842037,,
29,0.10620032437075824,-0.22380728631325972,,
30,0.10653648423472357,-0.22236444889692852,95.32055206298828,2.76269588470459
31,0.10376899374727641,-0.20643343135134845,,
32,0.08964523874683744,-0.20009668698669728,,
33,0.0842028252445132,-0.18996543199335936,,
34,0.10252576243020535,-0.1950163074528966,,
35,0.10960903283514636,-0.18946853788126714,90.96605529785157,2.7310245037078857
36,0.10431162291855256,-0.19508857447833505,,
37,0.11168094863364764,-0.18778265208050043,,
38,0.09579216359938696,-0.1842068128360032,,
39,0.1228063270871014,-0.18297837600768155,,
40,0.09848138878215398,-0.17241823462119082,94.75849914550781,2.7749337673187258
