epoch,loss_g,loss_c,fid,is_mean,is_std,run
1,0.5307580052512679,-1.057988552648521,115.04947662353516,2.2042500972747803,0.0447147935628891,1
2,0.4736501636039495,-0.9482355555369391,,,,1
3,0.4028993033740734,-0.8110065389206812,,,,1
4,0.34313829724189915,-0.6987635257778951,,,,1
5,0.30317779480270735,-0.6313038099056925,54.70051574707031,2.4802894592285156,0.032727960497140884,1
6,0.27461890101382774,-0.5868304850365879,,,,1
7,0.25537219907592623,-0.5594543729254043,,,,1
8,0.2436054678578636,-0.5388304411894149,,,,1
9,0.23703310656637883,-0.5094107926739335,,,,1
10,0.2195611907628999,-0.4649470323611398,49.65176773071289,2.6285436153411865,0.05609229952096939,1
11,0.2011492744316222,-0.42005456381523026,,,,1
12,0.18969065686386213,-0.3878297258786398,,,,1
13,0.17035875970962652,-0.36297936644905365,,,,1
14,0.16125010601038886,-0.3062310662423665,,,,1
15,0.1263187387473381,-0.21564189995834707,70.24848175048828,2.603780508041382,0.0483839213848114,1
16,0.07017897190011178,-0.1423142989264657,,,,1
17,0.08653880411878193,-0.15623635061829694,,,,1
18,0.08567703716055229,-0.16310009776407156,,,,1
19,0.10597225519170834,-0.15889675381371243,,,,1
20,0.13219000340408482,-0.1675544178469392,97.85360717773438,2.780264377593994,0.0741647332906723,1
21,0.1226141050766924,-0.20573467345640511,,,,1
22,0.10787798076026484,-0.24686308741234067,,,,1
23,0.06921401585641318,-0.2332394680199559,,,,1
24,0.13053286937322897,-0.24059141910918894,,,,1
25,0.06409099788874341,-0.21182048614997576,91.48319244384766,2.808021068572998,0.07804924994707108,1
26,0.08315775264657763,-0.22363009885141824,,,,1
27,0.04840490080542733,-0.21049987997912684,,,,1
28,0.08925637811640098,-0.20827114282449558,,,,1
29,0.09402683308737214,-0.20625962754078858,,,,1
30,0.07600582096156315,-0.20666444350363566,91.27869415283203,2.7169222831726074,0.05244752764701843,1
31,0.1471924963833155,-0.2190900335824014,,,,1
32,0.13164485202735146,-0.1951333384013383,,,,1
33,0.08178941843469184,-0.1759904885279106,,,,1
34,0.11100853606271388,-0.18846119299566294,,,,1
35,0.09460310753159766,-0.17531367390582817,97.92121124267578,2.803943395614624,0.05806470662355423,1
36,0.13397690737656778,-0.19073609953972778,,,,1
37,0.10067215223383234,-0.17362049370327315,,,,1
38,0.07980711834371314,-0.19680338736953093,,,,1
39,0.10562632543367362,-0.1933410403037688,,,,1
40,0.08220257504003073,-0.2067946103385298,93.99348449707031,2.7823386192321777,0.03494992479681969,1
1,0.5378924755728436,-1.0707733665573842,116.69615936279297,2.2795186042785645,0.04627639427781105,2
2,0.4884469261136948,-0.9730788086451249,,,,2
3,0.41590155009724683,-0.8256457214012719,,,,2
4,0.34905987277334205,-0.7039066176090572,,,,2
5,0.3081339110018565,-0.6300189402431109,53.90255355834961,2.4816696643829346,0.03992047160863876,2
6,0.2769177274138477,-0.5844192742924743,,,,2
7,0.2618001777933996,-0.5585314436263947,,,,2
8,0.24910953716995815,-0.5357977061616301,,,,2
9,0.23611879999797916,-0.506832217953593,,,,2
10,0.22141245918967842,-0.4701607071698936,47.8939094543457,2.594127655029297,0.06771928071975708,2
11,0.2076292426818261,-0.42223714659752626,,,,2
12,0.18972352989221,-0.3898778115332974,,,,2
13,0.17133136720464257,-0.3597971939621567,,,,2
14,0.1742866298436124,-0.33012270665423,,,,2
15,0.11874735221839812,-0.22943911327528774,62.419891357421875,2.6097726821899414,0.05683436617255211,2
16,0.12137088334154025,-0.14570532840327913,,,,2
17,0.10352576723069211,-0.13552708635327376,,,,2
18,0.11081840520655503,-0.1493487903592287,,,,2
19,0.10205597517722084,-0.1300448361447296,,,,2
20,0.08799605224315389,-0.13179415919292736,105.41023254394531,2.9986934661865234,0.06110340356826782,2
21,0.08466363317582544,-0.15068786825225533,,,,2
22,0.11516940360432741,-0.15049423091613803,,,,2
23,0.10178040871499651,-0.15426867623764898,,,,2
24,0.07383863183524089,-0.14123703983346056,,,,2
25,0.11526731571909422,-0.14279221769681238,112.5488510131836,2.995204448699951,0.043389659374952316,2
26,0.09685990126593123,-0.14479445588538103,,,,2
27,0.04831388835834948,-0.140788062575669,,,,2
28,0.03825152377770128,-0.17906385227363986,,,,2
29,0.08368295117385839,-0.22368502727140324,,,,2
30,0.14863151172131864,-0.2486797855722631,88.61830139160156,2.759979724884033,0.07711812108755112,2
31,0.10777630951655749,-0.24787756254599322,,,,2
32,0.09972346695242994,-0.2336618633449407,,,,2
33,0.10266971148162092,-0.22121526168491604,,,,2
34,0.08682083621419566,-0.19986149257749294,,,,2
35,0.11163338247081928,-0.17700117787531625,82.8880386352539,2.6951873302459717,0.040044866502285004,2
36,0.049538466878570796,-0.1595593112420826,,,,2
37,0.10047311288036853,-0.15264243366326224,,,,2
38,0.04779498100833964,-0.13700800855080544,,,,2
39,0.1168554874038468,-0.1411267385278103,,,,2
40,0.08447483882490446,-0.12376266996365917,100.18907165527344,2.7273552417755127,0.09557607769966125,2
1,0.5359467246575946,-1.080286219121085,116.76134490966797,2.2145743370056152,0.040674787014722824,3
2,0.48041733991366475,-0.9688865379228788,,,,3
3,0.4080127862948589,-0.8294601146455436,,,,3
4,0.34113720823064636,-0.7056305620060148,,,,3
5,0.29839107684160643,-0.6289390162834059,55.56140899658203,2.517571210861206,0.028183137997984886,3
6,0.2715166529504462,-0.5864361894450858,,,,3
7,0.25694166366319876,-0.5610243818771218,,,,3
8,0.24619805365911204,-0.5398498962605357,,,,3
9,0.24303936511815172,-0.5196459265587643,,,,3
10,0.22647168777550541,-0.4881658119518798,49.70519256591797,2.5918705463409424,0.03297564387321472,3
11,0.19943297728991774,-0.4358131610601552,,,,3
12,0.1935812714928246,-0.4069356328573837,,,,3
13,0.1762508505163788,-0.3815161821095488,,,,3
14,0.17214843252542064,-0.35142800842557476,,,,3
15,0.15144348872816676,-0.28165427830605805,56.5984992980957,2.7149147987365723,0.06910217553377151,3
16,0.11250015843584604,-0.17691331276711295,,,,3
17,0.12028245770094377,-0.14530046489178006,,,,3
18,0.13461645223784421,-0.15471368773883035,,,,3
19,0.1302183661480415,-0.15185351491777746,,,,3
20,0.12952688192841294,-0.158853674315999,82.79547119140625,2.7988154888153076,0.05484018847346306,3
21,0.1496209707618713,-0.17828692829098086,,,,3
22,0.1393239965950732,-0.1553331328962016,,,,3
23,0.10044731302039718,-0.13543266471310578,,,,3
24,0.09257337668944463,-0.1481118651757261,,,,3
25,0.08968418577298269,-0.1362107121198781,127.61097717285156,3.0514161586761475,0.07173293828964233,3
26,0.1636575779565691,-0.1484501520024633,,,,3
27,0.10017366904521134,-0.175077275367745,,,,3
28,0.11075662779614423,-0.19324765808197653,,,,3
29,0.08545673526087878,-0.2118540055428942,,,,3
30,0.10228250926974013,-0.22083538397146157,113.3354263305664,2.9289090633392334,0.0775398388504982,3
31,0.09210530164240349,-0.16596528574115174,,,,3
32,0.09522957593720482,-0.17742876959949921,,,,3
33,0.07564205739038038,-0.17481952262998193,,,,3
34,0.11383021937898032,-0.2042921592744794,,,,3
35,0.13848552850500268,-0.2178636774591407,91.53936004638672,2.8216893672943115,0.06526998430490494,3
36,0.11821856943038579,-0.22397509702315074,,,,3
37,0.11515643898446236,-0.20280594651103256,,,,3
38,0.12641620782445262,-0.19267099980871072,,,,3
39,0.12608717045618742,-0.17524710900707857,,,,3
40,0.1018191986893102,-0.1591165755130939,93.55207061767578,2.899644136428833,0.0592280775308609,3
1,0.5448955084182142,-1.0837150116520236,119.89096069335938,2.1860063076019287,0.041752491146326065,4
2,0.4899446153177587,-0.9689327323982878,,,,4
3,0.41277292304294183,-0.8200643053928635,,,,4
4,0.3516224857797849,-0.7036122225001337,,,,4
5,0.30516057912441263,-0.6259604645943001,56.267112731933594,2.486377716064453,0.0404854454100132,4
6,0.2720953551511682,-0.5756393214160985,,,,4
7,0.251630066645495,-0.5485019324891752,,,,4
8,0.2364586774173,-0.5317628872620551,,,,4
9,0.23570506154518356,-0.5049720021515002,,,,4
10,0.2285349514522247,-0.45268739564535554,52.118560791015625,2.643584966659546,0.0503767654299736,4
11,0.191320926181922,-0.4028211776708587,,,,4
12,0.17989309767016914,-0.348610323284404,,,,4
13,0.1514789725134096,-0.2671681825048033,,,,4
14,0.09009708324300146,-0.1594481356231581,,,,4
15,0.11341035525883897,-0.13624439354276793,72.6248550415039,2.6982390880584717,0.05137685686349869,4
16,0.12800161733077237,-0.14993417535983555,,,,4
17,0.12487313840221938,-0.17748603833483248,,,,4
18,0.12725183849089072,-0.18580930356354133,,,,4
19,0.11727225094736446,-0.18795740820826465,,,,4
20,0.10299481059995437,-0.18554651443927445,88.35914611816406,2.755507230758667,0.05180634558200836,4
21,0.08896912990747047,-0.20058843336622767,,,,4
22,0.11839431471707768,-0.21385091641611798,,,,4
23,0.11943691787015688,-0.2048144217748283,,,,4
24,0.0798983539631193,-0.20084271537637305,,,,4
25,0.06553400045129842,-0.21142015782660123,92.95619201660156,2.777730941772461,0.06585032492876053,4
26,0.09505406563651364,-0.21256093946984406,,,,4
27,0.10196462944775267,-0.23081950030744217,,,,4
28,0.10114080264162431,-0.21590707760398375,,,,4
29,0.13379336974574738,-0.2580868531558457,,,,4
30,0.09083534484114174,-0.1976564143191417,90.35298156738281,2.6934127807617188,0.05633839592337608,4
31,0.08920316223252277,-0.19884636126941227,,,,4
32,0.06462507975095733,-0.20231197564134384,,,,4
33,0.11691520229146755,-0.20497292154961477,,,,4
34,0.13059957811692038,-0.21632121573915886,,,,4
35,0.10440294537641767,-0.2119663391880232,86.88824462890625,2.675649404525757,0.08947886526584625,4
36,0.10626656547641915,-0.2124168789355558,,,,4
37,0.11055148752850567,-0.2058450864242481,,,,4
38,0.10925345011989734,-0.2060849711975733,,,,4
39,0.13634384339601743,-0.217095920658048,,,,4
40,0.11140434817174864,-0.19340197528031247,80.62779998779297,2.549984931945801,0.05833607539534569,4
1,0.5580997548143322,-1.091733044933816,116.61578369140625,2.269904851913452,0.050220053642988205,5
2,0.49867862968089127,-0.975817000329212,,,,5
3,0.4255417336981985,-0.836201436203238,,,,5
4,0.36276083875176796,-0.7170838130499703,,,,5
5,0.3212847626657706,-0.639316248771327,54.911781311035156,2.4535975456237793,0.040568411350250244,5
6,0.28496937772735814,-0.5910221726408502,,,,5
7,0.26775585226950016,-0.5622954807104469,,,,5
8,0.25770373805271574,-0.5394024590557032,,,,5
9,0.25076787524376987,-0.5157893521549389,,,,5
10,0.2352367016773356,-0.4889166286535926,50.747955322265625,2.6479408740997314,0.05755211412906647,5
11,0.22620507627100306,-0.46194693370947343,,,,5
12,0.21377345498924924,-0.4139969658653883,,,,5
13,0.18504342423916734,-0.37340312733139847,,,,5
14,0.15831105172123588,-0.3158069740645411,,,,5
15,0.14568565738487455,-0.24298825485964334,62.161834716796875,2.6504158973693848,0.07695680111646652,5
16,0.13073614324651964,-0.13623956707122295,,,,5
17,0.12056978461913777,-0.13477082115555356,,,,5
18,0.09227882462169675,-0.1553088672835774,,,,5
19,0.15591458252838578,-0.16007823039458308,,,,5
20,0.11767402313558435,-0.1518003822079202,106.7398910522461,3.187596321105957,0.08588629961013794,5
21,0.09349086145446658,-0.1397769571480593,,,,5
22,0.08395422404524569,-0.16194390010994994,,,,5
23,0.0719759238111429,-0.21507806078358707,,,,5
24,0.14041907882529767,-0.19718859597678645,,,,5
25,0.15407120126875568,-0.22312150914869366,104.19499206542969,3.0393967628479004,0.08578174561262131,5
26,0.12069054943881635,-0.24782168948655067,,,,5
27,0.14661346892326022,-0.24366685756677864,,,,5
28,0.11287056337534428,-0.23002604275800606,,,,5
29,0.1340417325859345,-0.21915091805536693,,,,5
30,0.1149272343798542,-0.23798621711814055,93.0173568725586,2.7142555713653564,0.04818186163902283,5
31,0.08256769896158286,-0.20038791361778363,,,,5
32,0.05700321906624365,-0.19194748794636432,,,,5
33,0.04399773662440526,-0.17282896557437347,,,,5
34,0.07036964237821652,-0.16614547667768895,,,,5
35,0.09892020029189451,-0.16519782097802732,95.59342193603516,2.6586530208587646,0.05827214568853378,5
36,0.11355760543081928,-0.18875548565115832,,,,5
37,0.1315515515410693,-0.20399930010068615,,,,5
38,0.11568906070053207,-0.1884666972533957,,,,5
39,0.12911880874578174,-0.188081071541702,,,,5
40,0.11250598318477589,-0.17901534201035874,105.43006896972656,2.9153459072113037,0.0861285924911499,5
