epoch,loss_g,loss_c,gp,fid,is_mean
1,23.108408713026257,-15.848527898698057,0.3030175489417938,116.05923156738281,2.5313653469085695
2,0.7145270073644545,-11.561370686957435,0.1936193550239195,,
3,-14.889939759685342,-9.507417541371327,0.14466313861910768,,
4,-27.1501296307954,-8.280897689988075,0.11784558126040827,,
5,-39.38062214150813,-7.389460066362956,0.09945495060105083,51.84705505371094,2.570695734024048
6,-52.912993038111196,-6.7336654666701765,0.08716175753287794,,
7,-67.32401130832956,-6.234301040432465,0.07763259771616915,,
8,-83.9342118874018,-5.7947473163815655,0.06978471597171085,,
9,-101.04630687285751,-5.436347868860615,0.0638591864976979,,
10,-118.46358216874785,-5.11890996176673,0.05869090467032286,40.21357345581055,2.661132335662842
11,-135.7220216299723,-4.8624334808397816,0.054858516105472765,,
12,-152.81182165884107,-4.620721967314468,0.05102659746162935,,
13,-169.8853350545633,-4.407727321727204,0.048381401037364775,,
14,-186.11855927911793,-4.231234427839282,0.04567981660283667,,
15,-203.32516784860815,-4.037406757951348,0.04279251572580369,34.11031723022461,2.6849545001983643
16,-219.31762963847905,-3.8762825829383885,0.04104554513378119,,
17,-235.4848840476664,-3.7827003611584225,0.03936640335929596,,
18,-249.84977224919467,-3.653381789269229,0.037770428743807816,,
19,-262.64214674240037,-3.562341413693782,0.03659994340676809,,
20,-274.5893829654254,-3.460885235393217,0.03565501572858501,30.66185607910156,2.7408668994903564
21,-286.1899877293302,-3.3694994220462453,0.034382860608087,,
22,-296.6559410232616,-3.266578696975588,0.03332917790665728,,
23,-307.3199962144704,-3.1959950678194113,0.032528229259001604,,
24,-317.49228200132063,-3.1093463414389566,0.031524754814085613,,
25,-328.50837945971256,-3.037075534718108,0.030528563110872892,29.731256866455077,2.727056932449341
26,-338.4941020889644,-2.9675781886385515,0.029927632131659398,,
27,-350.0399072632029,-2.8472845275782483,0.028673295759276664,,
28,-359.45702977474264,-2.8345259159323164,0.028311975917015314,,
29,-369.1930178211086,-2.759272894836715,0.02761655130689908,,
30,-380.33313161840937,-2.7116932579390056,0.02720497554032747,28.61117286682129,2.7729196548461914
31,-390.3043883197417,-2.663535727068523,0.02665779555534229,,
32,-401.4767985276739,-2.584854921458457,0.026026883562982644,,
33,-412.9755603297325,-2.5629775784026956,0.025654576801375662,,
34,-420.38659032933145,-2.5202741703075633,0.02525474646568628,,
35,-429.3288064666796,-2.477536879504838,0.02489341356107409,27.09532470703125,2.7569289684295653
36,-439.1446617225298,-2.4500032339954827,0.024730033938041747,,
37,-445.23696305068563,-2.434009932627987,0.0243397356854019,,
38,-452.6233582179354,-2.3769139506504247,0.02382288560521381,,
39,-459.4502854555441,-2.3551890064980747,0.023570425623371655,,
40,-464.770271412637,-2.3052129037383984,0.0231442092227239,26.607632064819335,2.759525012969971
