epoch,loss_g,loss_d,fid,is_mean
1,1.4660234558547283,0.44540822179948225,328.32091369628904,1.1715252161026002
2,2.877241245135028,0.2522642542253861,,
3,3.222809679306343,0.23139873543539297,,
4,3.1560286566041986,0.2510696655473648,,
5,2.996541667417583,0.2719994467428416,291.0424346923828,1.5215289354324342
6,2.8590085012663122,0.2860525269905089,,
7,2.7533147846022223,0.2967417363905244,,
8,2.778352153014678,0.30139540264335196,,
9,2.6405039748511254,0.3230251098306388,,
10,2.4644762155273527,0.3381464152588931,242.54275207519532,1.7281675219535828
11,2.2376955142069574,0.3545792991152177,,
12,2.0943136864620397,0.3771490612982685,,
13,1.9195402951131009,0.4016296941564124,,
14,1.7910248938215596,0.42310844498057654,,
15,1.6556568565722714,0.45106162471521616,198.9562530517578,2.1708928108215333
16,1.573023658962204,0.4621464394223995,,
17,1.528481318289016,0.47303447571829854,,
18,1.4628434371139503,0.4894107541722111,,
19,1.4082643007429747,0.49814909972314136,,
20,1.369109903782224,0.5077331257554201,181.8866989135742,2.273852515220642
21,1.3359129429946088,0.5150259005144621,,
22,1.3040474964035118,0.5217244581470633,,
23,1.2841345192211815,0.5263918941028607,,
24,1.26631343454823,0.5317124267228139,,
25,1.2572742137484825,0.5332870553828712,163.14058837890624,2.479147434234619
26,1.2492662744930922,0.5371549981081079,,
27,1.2422865111253454,0.5382199691210547,,
28,1.2442023475964865,0.5388242167540086,,
29,1.244139704095502,0.5378717947464723,,
30,1.2473894288269882,0.5364674233982706,141.8031784057617,2.657620072364807
31,1.2537016742218,0.5342873212045584,,
32,1.261964004786096,0.5324337993740527,,
33,1.2714255687709037,0.530245077285247,,
34,1.2805843128289423,0.5275014777341459,,
35,1.2937171571529829,0.5242019186990383,128.94973678588866,2.684659504890442
36,1.3052682518449603,0.5205821549599496,,
37,1.3189214497963841,0.517107594325247,,
38,1.3363568524455922,0.5128074432285423,,
39,1.3542557172923007,0.5076933549510108,,
40,1.367731049303443,0.5050139640513648,121.35354614257812,2.7132983446121215
41,1.3837284385107267,0.5009811418751876,,
42,1.401936817054565,0.49564743073832274,,
43,1.4198372908350494,0.492324068575588,,
44,1.4416737706456175,0.48648055237200527,,
45,1.4569103255883877,0.4826619767034665,114.77551956176758,2.733236837387085
46,1.4775054252204987,0.4776069068564818,,
47,1.496076881307631,0.4744009846296066,,
48,1.5141252661060192,0.4697675689672812,,
49,1.5314210032295976,0.46605379752114284,,
50,1.5495783032554908,0.46263138982984753,107.34808731079102,2.7098260641098024
51,1.5776544292560881,0.4574349782787836,,
52,1.5881536352153645,0.45285217865792093,,
53,1.61163253820955,0.4486411174838869,,
54,1.6333062718168665,0.44375586326942484,,
55,1.6489080252937782,0.4420705827064494,102.77081298828125,2.725916266441345
56,1.6683233866627272,0.43784197936964847,,
57,1.6865242527272457,0.43289263257995636,,
58,1.7054525691028843,0.43106921508144114,,
59,1.7272011410596213,0.42558350392386446,,
60,1.7431892169543945,0.4233731740815008,99.14257202148437,2.7042469501495363
61,1.7603496583035358,0.41905939422356775,,
62,1.7785864959112725,0.4164644290430424,,
63,1.799971049110222,0.41241919029599583,,
64,1.808074196294332,0.4104339809180835,,
65,1.8301808598236395,0.4076347558544232,94.32911682128906,2.678679323196411
66,1.8507508847766965,0.40301681231611813,,
67,1.8567444421048473,0.40171256711085634,,
68,1.8757688199034614,0.39950887628663806,,
69,1.891884571668875,0.39610344037158873,,
70,1.915794131361967,0.39216000447925337,92.44543533325195,2.6817967176437376
71,1.923342603714102,0.39211517332965495,,
72,1.949587304942692,0.3856246139758673,,
73,1.948961419513465,0.38875949549305644,,
74,1.971747576416685,0.38384603776483456,,
75,1.9971433522323003,0.37845275458107647,89.89182739257812,2.64465012550354
76,2.0027253946018777,0.38001572576025106,,
77,2.016402601974451,0.37526834531981723,,
78,2.036481946786372,0.3730900722340896,,
79,2.0479621805075525,0.36988823579735736,,
80,2.0698773747501082,0.3675106240165794,87.9967887878418,2.6380075931549074
