epoch,loss_g,loss_c,fid,is_mean
1,-4.903211528497059,-0.4616102700520271,237.68591766357423,1.5273432374000548
2,-2.6455723805110276,-0.6753980368821064,,
3,-1.8281475841078787,-0.6404232114362615,,
4,-1.4036667056242054,-0.5990410184243191,,
5,-1.2424559376453495,-0.5501714925421849,170.97911987304687,2.5829050302505494
6,-0.9813967104449575,-0.551226055763638,,
7,-0.8004784081346408,-0.5405094456615418,,
8,-0.5845618049474731,-0.5156597027099883,,
9,-0.5381177853497954,-0.5375607482540314,,
10,-0.5119328452671531,-0.5132554844196731,141.2406982421875,2.3612287878990172
11,-0.4349891582839619,-0.4836802724554038,,
12,-0.43254323295892083,-0.4628718739162768,,
13,-0.3985708008964597,-0.44453433164601136,,
14,-0.3294846047562191,-0.4278970361042175,,
15,-0.32479416560227586,-0.4151302925630084,132.27154388427735,2.329331064224243
16,-0.3139262178403364,-0.4011887052874682,,
17,-0.2992966049384592,-0.3819702888438389,,
18,-0.2382618323663496,-0.3730207180598375,,
19,-0.292898941832359,-0.35406766308982446,,
20,-0.31694643449663457,-0.33864184453399615,127.28028717041016,2.26668096780777
21,-0.33937032948883716,-0.32303066382317813,,
22,-0.31833046637376095,-0.31407903997086406,,
23,-0.3296836533781619,-0.30301974906070256,,
24,-0.29705645330744745,-0.29204125907530526,,
25,-0.2977430100092295,-0.28459845229172276,124.97711486816407,2.2621139883995056
26,-0.30757599888992393,-0.2723849003174389,,
27,-0.275020793969646,-0.266119917191907,,
28,-0.27104017896862975,-0.2533097258102041,,
29,-0.2521746938597419,-0.24844283616705026,,
30,-0.26608873796696486,-0.24978591224920152,127.79961853027343,2.2336797952651977
31,-0.48892783886959756,-0.28591053974332653,,
32,-0.38422987733991454,-0.253028811813355,,
33,-0.2719032626515583,-0.24058519886605828,,
34,-0.2392998529118416,-0.2326166047232589,,
35,-0.1944495785493019,-0.22333093737644663,124.20441818237305,2.279711437225342
36,-0.1751608161798036,-0.21407020830508547,,
37,-0.1240613579556988,-0.21213984667356328,,
38,-0.06640784205541336,-0.19763780499121678,,
39,-0.06998479388863704,-0.18485312519819658,,
40,0.007352281859608742,-0.17119240636819041,123.83401260375976,2.338174080848694
41,-0.03084875272796663,-0.16152838413845133,,
42,-0.02206693522392582,-0.14991850994727124,,
43,0.035074118829209036,-0.13895854048029369,,
44,0.0729042661968686,-0.13336613808650216,,
45,0.04077310709003459,-0.12534804832704144,124.37245559692383,2.379870653152466
46,0.045539545900351884,-0.11787889011953674,,
47,0.061201403359236475,-0.10948481876492548,,
48,-0.026143432056828,-0.1006661689808451,,
49,-0.11170854452564336,-0.09205199551605595,,
50,-0.08842986822448842,-0.08669581963713484,123.0566505432129,2.378596878051758
51,-0.05327500369827927,-0.08178913008855018,,
52,-0.2597176215198105,-0.07652249174419166,,
53,-0.4407585175117038,-0.07221006656159014,,
54,-0.6778050554169565,-0.06854674658472695,,
55,-0.7377970979171666,-0.06652241734218294,127.12392120361328,2.4195973873138428
56,-0.5758132156457756,-0.06710637286901791,,
57,-0.7307791515998816,-0.06438773893679144,,
58,-0.4127446819410888,-0.066190334139521,,
59,-0.4091179640986534,-0.06307215683486236,,
60,-0.6904722415238297,-0.06457347446399578,128.26205825805664,2.4391865491867066
61,-0.6700378007596666,-0.06062897219602913,,
62,-1.0329114246473368,-0.05969992319908164,,
63,-0.8699994745614352,-0.05941157712627961,,
64,-0.755880946689012,-0.05685918681415965,,
65,-0.5107691272375225,-0.05753790140759524,126.5067138671875,2.4454777002334596
66,-0.2117592502145838,-0.061478820341746565,,
67,-0.22208626046577984,-0.06127964236804363,,
68,0.030599936296847298,-0.0596149689161836,,
69,-0.17879431228523152,-0.057058028008772924,,
70,-0.08471155132768625,-0.05479663965730106,127.63129577636718,2.4156350612640383
71,-0.2328126311486561,-0.056020212471793264,,
72,-0.26977632536692997,-0.0547715212879434,,
73,-0.20284149314750488,-0.05506650349602358,,
74,-0.1345505060024486,-0.05636707244703314,,
75,-0.23397997998033143,-0.05428836852835894,127.58866119384766,2.441342282295227
76,-0.2138914798482062,-0.055860592409115575,,
77,-0.10852352994898676,-0.0563300829987303,,
78,-0.20004156363607167,-0.05176051734471317,,
79,-0.15146354067648973,-0.05331172620849793,,
80,-0.024970585352909185,-0.053542589395691655,126.73444442749023,2.420728063583374
